business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Selvam Motor - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94890 77222,https://dealers.heromotocorp.com/locator/virudhunagar/Madurai-Byepass-Road/selvam-motor-hero-motocorp-in-Madurai-Byepass-Road-virudhunagar--1HBFgn/home,3.9,349.0,"5, Madurai By-pass road, opposite Taluk office, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5987441,77.9521438,ChIJM07Blp8sATsRPEowkfsCPmM,https://www.google.com/maps/place/?q=place_id:ChIJM07Blp8sATsRPEowkfsCPmM,part_261,2026-09-20 19:01:55
RK Bajaj Bike Showroom Virudhunagar,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94894 69881,N/A,3.5,199.0,"Near, 6/504, Virudhunagar Highway, VVVCollege, Pelampatti, Tamil Nadu 626001",VVVCollege,9.6070798,77.9552514,ChIJ-Q-7wGYrATsRFvJj40oSc1U,https://www.google.com/maps/place/?q=place_id:ChIJ-Q-7wGYrATsRFvJj40oSc1U,part_261,2026-09-20 19:01:55
Yamaha Motor Showroom - KV Dhatchana Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle shop, Scooter repair shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94875 51495,https://www.yamaha-motor-india.com/?utm_medium=locator&utm_source=gmb_listing&utm_campaign=yamahamotorshowroom_kv_dhatchana_motors_yamaha_10103,4.5,1003.0,"156, Municipal Office Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.581802099999999,77.9536178,ChIJi0Lbq5UsATsRzqEFZY4fMxY,https://www.google.com/maps/place/?q=place_id:ChIJi0Lbq5UsATsRzqEFZY4fMxY,part_261,2026-09-20 19:01:55
Sri Sai Hari Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Honda dealer",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 97897 72585,N/A,4.5,2067.0,"138 Katcheri Road, Madurai Rd, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.591368899999999,77.95388249999999,ChIJodgts5ksATsR63fWY7cCN5Q,https://www.google.com/maps/place/?q=place_id:ChIJodgts5ksATsR63fWY7cCN5Q,part_261,2026-09-20 19:01:55
VNR Motors - Zelio Electric Scooter Showroom,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88388 47284,https://zelioebikes.com/,3.7,60.0,"5/2A/1A Hari Complex NH44 Service Road, Bharathi Nagar, next to Dindugal Thalappakkatti, NGO Colony, Chattrareddipatti, Tamil Nadu 626001","NGO Colony, GT Nagar",9.6131614,77.9571107,ChIJvUQ4_nArATsR1PZw-4GGr1c,https://www.google.com/maps/place/?q=place_id:ChIJvUQ4_nArATsR1PZw-4GGr1c,part_261,2026-09-20 19:01:55
Balasanka Motor TVS (2 wheeler & EV) - Sivagami Puram,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 8071 406 290,https://showroom.tvsmotor.com/locator/virudhunagar/Sivagami-Puram/balasanka-motor-pvt-ltd-tvs-2-wheeler-ev-in-Sivagami-Puram-virudhunagar--1C8J9Q/home,3.9,48.0,"97/2, Madurai Rd, opposite CSI Church, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5929667,77.952317,ChIJOVW2DZgtATsRDP77LDdWsks,https://www.google.com/maps/place/?q=place_id:ChIJOVW2DZgtATsRDP77LDdWsks,part_261,2026-09-20 19:01:55
Royal Enfield Showroom - Siva Motors,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88797 20993,https://www.royalenfield.com/?utm_source=GMBlisting&utm_medium=organic,4.5,614.0,"No 4/13, Tksp Sivakami Ambal Nagar, Virudhunagar, Tamil Nadu 626001",GT Nagar,9.6055569,77.95546639999999,ChIJbx-wfPUrATsRYw1tvC2-5Vg,https://www.google.com/maps/place/?q=place_id:ChIJbx-wfPUrATsRYw1tvC2-5Vg,part_261,2026-09-20 19:01:55
VIP BIKES AND CARS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Car finance and loan company, Two Wheeler Rental Agency, Motorcycle shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 89033 12323,N/A,5.0,4.0,"123-c, Madurai Rd, opposite Kvs Higher Secondary School, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5969862,77.9541555,ChIJG3jiDfMtATsRBoKe9DP1HY4,https://www.google.com/maps/place/?q=place_id:ChIJG3jiDfMtATsRBoKe9DP1HY4,part_261,2026-09-20 19:01:55
"Suzuki Motorcycle (Surabhi Suzuki, Virudhunagar, Katchery Road)",Two Wheeler Showroom and Dealer,Suzuki dealer,Suzuki dealer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88796 84031,https://suzukimotorcyclekatcheryroad.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.9,2121.0,"Railway station area, 107/8, Katchery Rd, near kvs hr sec school, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5985987,77.9537953,ChIJz0PZAt0tATsRG8Q1urwVoLc,https://www.google.com/maps/place/?q=place_id:ChIJz0PZAt0tATsRG8Q1urwVoLc,part_261,2026-09-20 19:01:55
AK motors,Two Wheeler Showroom and Dealer,Used motorcycle dealer,Used motorcycle dealer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 76393 84783,N/A,5.0,2.0,"JX43+FW3, GT Nagar, Virudhunagar, Pelampatti, Tamil Nadu 626001",GT Nagar,9.6061286,77.9547887,ChIJAVDNCwArATsRMZAX-9VlDEs,https://www.google.com/maps/place/?q=place_id:ChIJAVDNCwArATsRMZAX-9VlDEs,part_261,2026-09-20 19:01:55
