business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VISALATCHI SUPER MARKET,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 74484 46555,N/A,4.4,9.0,"HWMR+GMW, 8/1127/20E Sivakasi Byepass Road, Virudhunagar, Tamil Nadu 626001",626002,9.5836437,77.9415652,ChIJvU3jMe8tATsRBz3z7j8rIus,https://www.google.com/maps/place/?q=place_id:ChIJvU3jMe8tATsRBz3z7j8rIus,part_261,2026-09-20 19:01:43
Virudhunagar Tholandi Palasarakku,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98410 19868,http://www.tholandi.in/,,,"GT Nagar, Virudhunagar, Tamil Nadu 626001",GT Nagar,9.6032583,77.9481533,ChIJj2loaQArATsR6bJqetm4FQw,https://www.google.com/maps/place/?q=place_id:ChIJj2loaQArATsR6bJqetm4FQw,part_261,2026-09-20 19:01:43
Rathnam Hyper Market,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 86680 68461,N/A,4.6,24.0,"Malankinar Road, Pandian Nagar, Rosalpatti, Tamil Nadu 626001",Pandian Nagar,9.5918447,77.96966909999999,ChIJm57FDDgtATsRK5WVSgSP3Hc,https://www.google.com/maps/place/?q=place_id:ChIJm57FDDgtATsRK5WVSgSP3Hc,part_261,2026-09-20 19:01:43
Isha,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.1,440.0,"449, Madurai Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5946348,77.9538225,ChIJGx3BvFwtATsRYOZqcyFqyIE,https://www.google.com/maps/place/?q=place_id:ChIJGx3BvFwtATsRYOZqcyFqyIE,part_261,2026-09-20 19:01:43
Tamil super shoppy,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 93423 47030,N/A,5.0,4.0,"Pavali Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5884092,77.9514184,ChIJPTEMZlwtATsRSa440SdavEw,https://www.google.com/maps/place/?q=place_id:ChIJPTEMZlwtATsRSa440SdavEw,part_261,2026-09-20 19:01:43
SRI HARI SUPERMARKET,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99947 93278,N/A,5.0,5.0,"8/1184, New Sivakasi Road, near Auto Lpg, Sivagami Puram, Virudhunagar, Kooraikundu, Tamil Nadu 626001",Sivagami Puram,9.5831644,77.945059,ChIJs-3QZwItATsRUVjAJvw1qmM,https://www.google.com/maps/place/?q=place_id:ChIJs-3QZwItATsRUVjAJvw1qmM,part_261,2026-09-20 19:01:43
Rakesh Super Market,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,4.0,26.0,"HXQ2+GW5, Agraharam Street, RR Nagar, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","RR Nagar, Sivagami Puram",9.5887712,77.95236589999999,ChIJV2iXJpgtATsRzesSJsLBBD4,https://www.google.com/maps/place/?q=place_id:ChIJV2iXJpgtATsRzesSJsLBBD4,part_261,2026-09-20 19:01:43
AYYAPPAN MALIGAI,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 90957 59575,N/A,5.0,2.0,"68, Seethakathi St, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5879063,77.9502273,ChIJG7rPrxgtATsR0yRZsLoV_7c,https://www.google.com/maps/place/?q=place_id:ChIJG7rPrxgtATsR0yRZsLoV_7c,part_261,2026-09-20 19:01:43
Balaji Super Market,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 91506 03141,N/A,4.0,,"Main Rd, Sattur, Tamil Nadu 626203",626002,9.3602151,77.9174561,ChIJJWuJEwnLBjsRhqeVkVSesQY,https://www.google.com/maps/place/?q=place_id:ChIJJWuJEwnLBjsRhqeVkVSesQY,part_261,2026-09-20 19:01:44
Bharathi Supermarket,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 70102 73616,N/A,5.0,,"1/499-11, SAKTHI RAJ COMPLEX, MATHA KOVIL STOP RAMASUBRAHMANEYA, RAJA NAGAR, Tamil Nadu 626204","Ramaswamy Raja Nagar, RAJA NAGAR",9.465195999999999,77.9344003,ChIJ0UtuN1kzATsR3pZPkIoVxwg,https://www.google.com/maps/place/?q=place_id:ChIJ0UtuN1kzATsR3pZPkIoVxwg,part_261,2026-09-20 19:01:44
Happi Nuts,Supermarket,Dry Fruit Store,"Dry Fruit Store, Fruits Wholesaler, Health food store, Indian grocery store, Nut store, Wholesaler",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 95857 50990,http://happinuts.in/,4.8,,"6/432, Sivanantham street, Hanumaan Nagar, Allampatti, Tamil Nadu 626001",Hanumaan Nagar,9.5741821,77.9642523,ChIJjdL_JvIsATsR7xpcgwC78fU,https://www.google.com/maps/place/?q=place_id:ChIJjdL_JvIsATsR7xpcgwC78fU,part_261,2026-09-20 19:01:44
MG SUPER MARKET,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"HXQ4+5J8, Alagarsamy St, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5879243,77.9565752,ChIJaVd5M5csATsRXsVv9Jz6sXg,https://www.google.com/maps/place/?q=place_id:ChIJaVd5M5csATsRXsVv9Jz6sXg,part_261,2026-09-20 19:01:44
Sri Venkateswara Super Market,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88383 79818,N/A,4.9,,"3/882, 3/967, opposite Sattur, S.R.Naidu nagar, Prc, Padandal, Tamil Nadu 626203","S.R.Naidu nagar, Prc",9.367074599999999,77.9147206,ChIJc1nmQ2jLBjsRE9hCmLfthS0,https://www.google.com/maps/place/?q=place_id:ChIJc1nmQ2jLBjsRE9hCmLfthS0,part_261,2026-09-20 19:01:44
Gomathi super market,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,3.3,,"HW3X+75P, Kooraikundu, Tamil Nadu 626002",626002,9.5532227,77.9479437,ChIJowNRDsEtATsRHkMQyZWEsn0,https://www.google.com/maps/place/?q=place_id:ChIJowNRDsEtATsRHkMQyZWEsn0,part_261,2026-09-20 19:01:44
Amirtha distributors,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98947 13121,N/A,3.7,3.0,"No54, E Marret St, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.922927,78.1163948,ChIJP71f4IzFADsRHtiZmVDmvw8,https://www.google.com/maps/place/?q=place_id:ChIJP71f4IzFADsRHtiZmVDmvw8,part_261,2026-09-20 19:01:45
ANBUSELVAN STORES,Supermarket,Supermarket,Supermarket,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 88706 01633,N/A,4.3,28.0,"Virudhunagar - Aruppukottai, Main Rd, Palava Natham, Tamil Nadu 626004",626002,9.550310699999999,78.0072971,ChIJWyQSzc8tATsRntwLJezNm94,https://www.google.com/maps/place/?q=place_id:ChIJWyQSzc8tATsRntwLJezNm94,part_261,2026-09-20 19:01:45
VBK Dal Point,Supermarket,Supermarket,"Supermarket, Wholesale grocer",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 91501 27307,N/A,5.0,17.0,"25/1 rajaji, 1st St, Tirumangalam, Tamil Nadu 625706",626002,9.8253264,77.9842445,ChIJ4WYUhBLTADsRACGh0Qcko0E,https://www.google.com/maps/place/?q=place_id:ChIJ4WYUhBLTADsRACGh0Qcko0E,part_261,2026-09-20 19:01:45
Sir Devi Dhivakar Grocery Shop,Supermarket,Grocery store,Grocery store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99941 33509,N/A,5.0,2.0,"Sattur, Road, Ettakkapatti, Tamil Nadu 626128",626002,9.3789319,77.7492535,ChIJjavvIM7JBjsR9vLdCwt21U0,https://www.google.com/maps/place/?q=place_id:ChIJjavvIM7JBjsR9vLdCwt21U0,part_261,2026-09-20 19:01:45
