business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amar Auto Stores,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96888 99170,N/A,4.3,,"535 / 3 A RKV Towers, Kovilpatti Main Rd, Inam Maniyachi, Tamil Nadu 628502",Srinivasa Nagar,9.1670178,77.852322,ChIJ028Ete6zBjsRt9XEs3RCdy4,https://www.google.com/maps/place/?q=place_id:ChIJ028Ete6zBjsRt9XEs3RCdy4,part_266,2026-09-20 19:01:56
Anushree Auto Stores,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 98424 48429,https://forms.gle/qyvAEqz2hJxK1txM8,4.3,,"10A, Sri Ranga Nagar, IIaiyarasanendal, Tamil Nadu 627713",Sri Ranga Nagar,9.2121879,77.79400199999999,ChIJecUYdhWxBjsRg6zc0JNpQFw,https://www.google.com/maps/place/?q=place_id:ChIJecUYdhWxBjsRg6zc0JNpQFw,part_266,2026-09-20 19:01:56
ARUNACHAL MOTOR PARTS,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99449 09712,N/A,5.0,,"380/1, North St, near KTC DEPOT, Kovilpatti, Tamil Nadu 628502",628716,9.1832154,77.8614589,ChIJoT_-ZwCzBjsRXHbSFBqHHMg,https://www.google.com/maps/place/?q=place_id:ChIJoT_-ZwCzBjsRXHbSFBqHHMg,part_266,2026-09-20 19:01:56
THIRUMENI AUTO STORE,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,,,"5VG2+9W3, Kadalaiyur, Alampatti, Tamil Nadu 628502",628716,9.1758407,77.8523481,ChIJp5aWfgCzBjsRHjkoibX2mpY,https://www.google.com/maps/place/?q=place_id:ChIJp5aWfgCzBjsRHjkoibX2mpY,part_266,2026-09-20 19:01:56
S.K.M. AUTO SPARES,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94427 59240,N/A,4.3,,"Sorna Mahal Complex, A.K.S, AKS Theatre Road, V.O.C. Nagar, Kadershan Koil, Kovilpatti, Tamil Nadu 628502","V.O.C. Nagar, Kadershan Koil",9.1730264,77.8650765,ChIJGzTeBm6yBjsRqRgqggBBhm4,https://www.google.com/maps/place/?q=place_id:ChIJGzTeBm6yBjsRqRgqggBBhm4,part_266,2026-09-20 19:01:56
Selliammal Auto Spares,Auto Spare Parts Shop,Store,Store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96002 16488,N/A,4.1,,"Polepettai, Ezhil Nagar, Thoothukudi, Tamil Nadu 628002","Polepettai, Ezhil Nagar",8.8127874,78.1341523,ChIJVTX3Ii_vAzsRmxQ--SvsWlU,https://www.google.com/maps/place/?q=place_id:ChIJVTX3Ii_vAzsRmxQ--SvsWlU,part_266,2026-09-20 19:01:56
Balaji auto stores,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"SR complex, road, Manthithopu, IIaiyarasanendal, Palaya Appaneri, Tamil Nadu 628502",Manthithopu,9.1848846,77.8553877,ChIJpZM0bACzBjsRTykS3cx92dA,https://www.google.com/maps/place/?q=place_id:ChIJpZM0bACzBjsRTykS3cx92dA,part_266,2026-09-20 19:01:56
Natarajan Auto Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 4632 220 907,N/A,4.5,,"23, New Rd, Sevvalpatti, Kovilpatti, Tamil Nadu 628501",Sevvalpatti,9.181015,77.8734118,ChIJs8LxrGeyBjsRoq_uGgLrUyo,https://www.google.com/maps/place/?q=place_id:ChIJs8LxrGeyBjsRoq_uGgLrUyo,part_266,2026-09-20 19:01:56
Surya Auto Stores,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99408 39045,N/A,4.7,,"242 , Kuna Vena Compound, Elayarasanendal Road, Kovilpatti, Tamil Nadu 628502",Nadarajapuram,9.178790099999999,77.86476689999999,ChIJ52iu6GuyBjsRorHj4hqF3QA,https://www.google.com/maps/place/?q=place_id:ChIJ52iu6GuyBjsRorHj4hqF3QA,part_266,2026-09-20 19:01:56
K.S.AUTO PARTS,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99445 80109,N/A,,,"NH7 Thirunelveli sevice road, Vinayaganagar Rd, Alampatti II, Tamil Nadu 628502",628716,9.1639115,77.8481671,ChIJIat1mmOzBjsRXV5Rgo13LYg,https://www.google.com/maps/place/?q=place_id:ChIJIat1mmOzBjsRXV5Rgo13LYg,part_266,2026-09-20 19:01:56
GOKULAM AUTO SPARES,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97502 77222,N/A,,,"Kuna Vena Compound, 242, Elayarasanendal Road, Nadarajapuram, Kovilpatti, Tamil Nadu 628502",Nadarajapuram,9.178909599999999,77.8645532,ChIJzYksYwCzBjsRUuEfJ_HOBWg,https://www.google.com/maps/place/?q=place_id:ChIJzYksYwCzBjsRUuEfJ_HOBWg,part_266,2026-09-20 19:01:56
Sri Thiruppathi Auto Stores,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94430 02310,N/A,4.3,,"Sri Natarajan Complex, 173/6, New Rd, Sevvalpatti, Tuticorin, Kovilpatti, Tamil Nadu 628501",Sevvalpatti,9.1810885,77.8731399,ChIJfUOcrWeyBjsRTrvStnhqKDg,https://www.google.com/maps/place/?q=place_id:ChIJfUOcrWeyBjsRTrvStnhqKDg,part_266,2026-09-20 19:01:56
Thirupathi Auto Store,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96888 99118,N/A,4.5,,"Kalugumalai, Tamil Nadu 628552",628716,9.1474622,77.6995518,ChIJ15QlKiilBjsRYak4YFyY5GQ,https://www.google.com/maps/place/?q=place_id:ChIJ15QlKiilBjsRYak4YFyY5GQ,part_266,2026-09-20 19:01:56
Sri Durga Auto Spares,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Motorcycle parts store",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99443 22924,N/A,4.0,,"5VJF+F4M, Kovilpatti Main Rd, Sevvalpatti, Kovilpatti, Tamil Nadu 628501",Sevvalpatti,9.1812227,77.8727962,ChIJm9YvtWeyBjsRkAz-pqRJbeM,https://www.google.com/maps/place/?q=place_id:ChIJm9YvtWeyBjsRkAz-pqRJbeM,part_266,2026-09-20 19:01:56
ரோகித் ஆட்டோ ஸ்பேர்ஸ்,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 63806 61927,N/A,5.0,,"G P, மணி இளையசந்தர், மெயின் ரோடு, Kovilpatti, Alampatti, Tamil Nadu 628501","மணி இளையசந்தர், மெயின் ரோடு",9.1853639,77.855311,ChIJFaUru1OzBjsRLv8EGZOMovk,https://www.google.com/maps/place/?q=place_id:ChIJFaUru1OzBjsRLv8EGZOMovk,part_266,2026-09-20 19:01:56
Sri Auto tech,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"Service Rd, Srinivasa Nagar, Inam Maniyachi, Tamil Nadu 628502","Srinivasa Nagar, Inam Maniyachi",9.1705063,77.8529765,ChIJqbRSLISzBjsR-3E8aFNioj0,https://www.google.com/maps/place/?q=place_id:ChIJqbRSLISzBjsR-3E8aFNioj0,part_266,2026-09-20 19:01:56
Sri Sivasakthi Automobiles,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94431 24587,N/A,4.3,,"140, Market Rd, Sevvalpatti, Kovilpatti, Tamil Nadu 628501",Sevvalpatti,9.1785214,77.87153529999999,ChIJV0vpv7uzBjsRyTW3VIauW_w,https://www.google.com/maps/place/?q=place_id:ChIJV0vpv7uzBjsRyTW3VIauW_w,part_266,2026-09-20 19:01:56
RSR Traders - Two Wheeler Spare Parts Store,Auto Spare Parts Shop,Auto parts store,Auto parts store,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 75581 45465,N/A,,,"RSR Traders, Aravind Eye Hospital, Bus Stop, Illyarasanenthal Road, Newappaneri, Kovilpatti, Tamil Nadu 628502",628716,9.1912547,77.84376739999999,ChIJCXKnUwCzBjsR70k8r4Yyey0,https://www.google.com/maps/place/?q=place_id:ChIJCXKnUwCzBjsR70k8r4Yyey0,part_266,2026-09-20 19:01:56
