business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ranjeetham Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 253 3351,N/A,4.5,26.0,"MQX4+X5W, Anbunagar Extension, Thiyagaraja Nagar, Tirunelveli, Tamil Nadu 627011","Anbunagar Extension, Thiyagaraja Nagar",8.6999801,77.75544119999999,ChIJYzQdmY0NBDsRjvFjgdTvsMg,https://www.google.com/maps/place/?q=place_id:ChIJYzQdmY0NBDsRjvFjgdTvsMg,part_264,2026-09-20 19:01:53,1519
Parvathy Nursing Home,Nursing Home and Maternity Hospital,Hospital,"Hospital, Emergency care service",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 4635 260 616,N/A,4.5,52.0,"20A, Annasalai,Kalakad, Nanguneri, Tamil Nadu 627501",627761,8.513344199999999,77.5576844,ChIJ5yqM43lCBDsRJvQ2s41YEzA,https://www.google.com/maps/place/?q=place_id:ChIJ5yqM43lCBDsRJvQ2s41YEzA,part_264,2026-09-20 19:01:53,1520
Joseph Bethel Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98430 10872,N/A,4.3,32.0,"16, S Car St, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627006",Tirunelveli Junction,8.7250152,77.6862251,ChIJyywN4mIRBDsRSzGEkTI9nMA,https://www.google.com/maps/place/?q=place_id:ChIJyywN4mIRBDsRSzGEkTI9nMA,part_264,2026-09-20 19:01:53,1521
KARTHEEK NURSING HOME,Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 89048 83856,http://www.kartheeknursinghome.com/,3.4,100.0,"Home No: 37 , STC Road, 132, 7th St, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","Perumalpuram, Vasantha Nager",8.704135599999999,77.73857919999999,ChIJMWcgkQwSBDsRJ1ruFEaOZh8,https://www.google.com/maps/place/?q=place_id:ChIJMWcgkQwSBDsRJ1ruFEaOZh8,part_264,2026-09-20 19:01:53,1522
Easwari Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 4637 220 222,N/A,3.7,32.0,"23A, SH 92, Vadakkuvalliyur, Tamil Nadu 627117",627761,8.3914247,77.60907739999999,ChIJ58TTSt9mBDsRQqd9c5E1NiU,https://www.google.com/maps/place/?q=place_id:ChIJ58TTSt9mBDsRQqd9c5E1NiU,part_264,2026-09-20 19:01:53,1523
Annai Velankanni Maternity Center,Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 250 1661,N/A,4.3,8.0,"14, Tiruchendur Main Rd, Murugankurichi, Tirunelveli-2, Thimmarajapuram, Tirunelveli, Tamil Nadu 627002","Murugankurichi, Tirunelveli-2, Thimmarajapuram",8.7269616,77.73021109999999,ChIJm4gM-vYRBDsRWtZCqcoOgY4,https://www.google.com/maps/place/?q=place_id:ChIJm4gM-vYRBDsRWtZCqcoOgY4,part_264,2026-09-20 19:01:53,1524
Udhayam Home Care in Tirunelveli,Nursing Home and Maternity Hospital,Home health care service,Home health care service,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 75500 86500,N/A,5.0,61.0,"ABARNA COMPLEX, 2/2a 29, opposite government multi speciality hospital, Srinivasagam Nagar, Maharaja Nagar, Tirunelveli, Tamil Nadu 627001","Srinivasagam Nagar, Maharaja Nagar",8.7134923,77.76205829999999,ChIJpZ0tEqUNBDsR7TzZ9A04OrY,https://www.google.com/maps/place/?q=place_id:ChIJpZ0tEqUNBDsR7TzZ9A04OrY,part_264,2026-09-20 19:01:53,1525
Gomathi Nursing Home,Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 4634 250 511,N/A,3.8,43.0,"No : 135, Veerappapuram Street, Kalladaikurichi, Tamil Nadu 627416",627761,8.688489299999999,77.4638439,ChIJy_hurjY5BDsRoURyhvI7CSE,https://www.google.com/maps/place/?q=place_id:ChIJy_hurjY5BDsRoURyhvI7CSE,part_264,2026-09-20 19:01:53,1526
Kidney Care Centre - Subramaniam Nursing Home,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Nephrologist, Dialysis center",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 462 233 4005,N/A,4.4,621.0,"PPP6+8PP, 9D, Madurai Rd, Thilak Nagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Thilak Nagar, Tirunelveli Junction",8.7365968,77.71179169999999,ChIJmavfY5ARBDsRf-pRKReQHEw,https://www.google.com/maps/place/?q=place_id:ChIJmavfY5ARBDsRf-pRKReQHEw,part_264,2026-09-20 19:01:53,1527
"Subramanian Nursing Home, Tirunelveli Tn.",Nursing Home and Maternity Hospital,Hospital,Hospital,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.5,2.0,"PPP6+MMM, Madurai Rd, behind Hotel Aryas, Thilak Nagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Thilak Nagar, Tirunelveli Junction",8.7367124,77.71168689999999,ChIJh5bfX5ARBDsR9vmYxP-5Gpk,https://www.google.com/maps/place/?q=place_id:ChIJh5bfX5ARBDsR9vmYxP-5Gpk,part_264,2026-09-20 19:01:53,1528
