business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JJ Xerox & E-Sevai,Xerox and Photostat Center,Print shop,Print shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98844 34344,N/A,4.9,,"T.T.K. Rd, Sivagami Puram, Virudhunagar, Kooraikundu, Tamil Nadu 626001",Sivagami Puram,9.587312299999999,77.9488003,ChIJGdbGLAAtATsR7QzNQecxdyY,https://www.google.com/maps/place/?q=place_id:ChIJGdbGLAAtATsR7QzNQecxdyY,part_261,2026-09-20 19:02:09,6038
Ravi xerox & Browsing centre,Xerox and Photostat Center,Internet cafe,"Internet cafe, Printing equipment supplier",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 96004 59035,N/A,,,"4/3, Municipal Office Rd, near theppam, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5837348,77.9542476,ChIJczKIGYAtATsRJinMGQtA-7Y,https://www.google.com/maps/place/?q=place_id:ChIJczKIGYAtATsRJinMGQtA-7Y,part_261,2026-09-20 19:02:09,6039
UniqueDigiHub CSC esevai maiyam,Xerox and Photostat Center,Aadhaar center,Aadhaar center,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 70105 72256,N/A,5.0,,"A.R.Complex, Main St, opp. to PRC Depot, Lakshmi Nagar, Chatrareddiapatti, Chattrareddipatti, Tamil Nadu 626001","Lakshmi Nagar, Chatrareddiapatti",9.6257995,77.9664367,ChIJKcdPnMMrATsRXmLclcuWd3I,https://www.google.com/maps/place/?q=place_id:ChIJKcdPnMMrATsRXmLclcuWd3I,part_261,2026-09-20 19:02:09,6040
Star Xerox,Xerox and Photostat Center,Computer store,Computer store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 91768 06803,N/A,4.7,,"45, opp. to old bus stand, Virudhunagar, Tamil Nadu 626001","RR Nagar, Sivagami Puram",9.5895647,77.952556,ChIJHf0wmoItATsRNwAAw1bzGzo,https://www.google.com/maps/place/?q=place_id:ChIJHf0wmoItATsRNwAAw1bzGzo,part_261,2026-09-20 19:02:09,6041
OM SAI XEROX & PRINTING,Xerox and Photostat Center,Print shop,Print shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 62898 82875,https://www.facebook.com/omsaixeroxprinting/,4.9,,"2nd Floor, DF-94, Street Number 324, DF Block(Newtown), Action Area I, Newtown, Kolkata, Chakpachuria, West Bengal 700156","DF Block(Newtown), Action Area I, Newtown",22.575402999999998,88.4762011,ChIJNYFNxIN1AjoRGbdVgZ17wGI,https://www.google.com/maps/place/?q=place_id:ChIJNYFNxIN1AjoRGbdVgZ17wGI,part_261,2026-09-20 19:02:09,6042
Ramesh Xerox Centre,Xerox and Photostat Center,Print shop,Print shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99869 51201,N/A,4.6,,"No.221 Vayunandana Layout, Neerubhavi Munirathnamma Compound, Kempapura, Hebbal, Bengaluru, Karnataka 560024","Neerubhavi Munirathnamma Compound, Kempapura, Hebbal",13.0496631,77.5981245,ChIJ-V7VSAAXrjsRI3dy6OpHeBI,https://www.google.com/maps/place/?q=place_id:ChIJ-V7VSAAXrjsRI3dy6OpHeBI,part_261,2026-09-20 19:02:09,6043
XEROX CENTRE,Xerox and Photostat Center,Print shop,Print shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 98748 28634,N/A,5.0,,"Ghughudanga, Dum Dum, West Bengal 700074","Ghughudanga, Dum Dum",22.6201924,88.395625,ChIJN8xTnrOd-DkRkjh81pGsVPQ,https://www.google.com/maps/place/?q=place_id:ChIJN8xTnrOd-DkRkjh81pGsVPQ,part_261,2026-09-20 19:02:09,6044
S.R. Xerox Center,Xerox and Photostat Center,Copy shop,"Copy shop, Bookbinder, Digital printing service, Internet shop",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99869 51201,N/A,4.2,,"2HXX+R69, G Ramaiah Layout, Vayunandana Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","G Ramaiah Layout, Vayunandana Layout, Hebbal Kempapura",13.0495308,77.5981211,ChIJA7Vmo4UXrjsROr2C3t2lWDk,https://www.google.com/maps/place/?q=place_id:ChIJA7Vmo4UXrjsROr2C3t2lWDk,part_261,2026-09-20 19:02:09,6045
Cam Xerox,Xerox and Photostat Center,Copy shop,Copy shop,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 93886 16620,N/A,4.1,,"41, Sivadas Towers, Chittoor Rd, Padma Junction, North Kaloor, Pullepady, Ernakulam, Keralam 682018","Padma Junction, North Kaloor, Pullepady",9.9835005,76.28403329999999,ChIJLcKpjU8NCDsRIS-JrUwY1U0,https://www.google.com/maps/place/?q=place_id:ChIJLcKpjU8NCDsRIS-JrUwY1U0,part_261,2026-09-20 19:02:09,6046
Xerox and Print center,Xerox and Photostat Center,Copying supply store,Copying supply store,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 74885 29482,N/A,4.6,,"15/A, Topsia Rd, Uttar Panchanna Gram, Kolkata, West Bengal 700100",Uttar Panchanna Gram,22.5310094,88.3979085,ChIJd2PEoaB3AjoRld4_owDwY_c,https://www.google.com/maps/place/?q=place_id:ChIJd2PEoaB3AjoRld4_owDwY_c,part_261,2026-09-20 19:02:09,6047
