business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ARAN Architects & Designers,Interior Designers,Interior designer,"Interior designer, Architect",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 97902 21722,N/A,4.7,,"Semparuthi Street, 6/1342, RS Nagar, Hanumaan Nagar, Allampatti, Tamil Nadu 626001",Hanumaan Nagar,9.5715594,77.9693367,ChIJAZG5h5AsATsRrgX_ti6O12w,https://www.google.com/maps/place/?q=place_id:ChIJAZG5h5AsATsRrgX_ti6O12w,part_261,2026-09-20 19:02:01,4258
ULTIMATE INTERIORS,Interior Designers,Interior designer,Interior designer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99422 11119,N/A,5.0,,"opposite to axis bank, Lakshmi Colony, Sivagami Puram, Virudhunagar, Tamil Nadu 626001","Lakshmi Colony, Sivagami Puram",9.5951459,77.9559824,ChIJtyMy-ZQtATsR1Hyvr73_0vM,https://www.google.com/maps/place/?q=place_id:ChIJtyMy-ZQtATsR1Hyvr73_0vM,part_261,2026-09-20 19:02:01,4259
Shree interiors,Interior Designers,Interior designer,"Interior designer, Aluminum window, Interior Decorator, PVC windows supplier, Screen store",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 81899 82247,https://shreeinteriors.lyzoo.co.in/,5.0,,"Service Rd, GT Nagar, Virudhunagar, Tamil Nadu 626001",GT Nagar,9.5986101,77.9511,ChIJKYvdy6wtATsRRPnBihVslyg,https://www.google.com/maps/place/?q=place_id:ChIJKYvdy6wtATsRRPnBihVslyg,part_261,2026-09-20 19:02:01,4260
"Sun Infraa Trends Pvt, Ltd",Interior Designers,Interior designer,"Interior designer, Architecture firm, Interior architect office, Interior construction contractor, Architectural designer",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 44 6907 0092,https://suninfraa.com/,4.6,,"6/497/3, Madurai Main Road, N.G.O Nagar, GT Nagar, Pelampatti, Tamil Nadu 626001","N.G.O Nagar, GT Nagar",9.6106991,77.9561806,ChIJVUC8SpgsATsR_gNJkNqlbTA,https://www.google.com/maps/place/?q=place_id:ChIJVUC8SpgsATsR_gNJkNqlbTA,part_261,2026-09-20 19:02:01,4261
MIDAS | Architects | Interior | Construction,Interior Designers,Interior designer,"Interior designer, Building consultant, Real Estate Builders & Construction Company, Architecture firm",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 94871 14275,http://www.midasarch.com/,4.9,,"Door No.6, Bus Stop, 3-1082-71, Sivakasi Road, near Aathupalam, Sivagami Puram, Virudhunagar, Kooraikundu, Tamil Nadu 626001",Sivagami Puram,9.581598699999999,77.946821,ChIJ1XLArvnPBjsRkzYyi4ylCU0,https://www.google.com/maps/place/?q=place_id:ChIJ1XLArvnPBjsRkzYyi4ylCU0,part_261,2026-09-20 19:02:01,4262
Smart Designer(Interior & Exterior),Interior Designers,Interior designer,Interior designer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 93605 13540,N/A,,,"P, Kumaralingapuram, Tamil Nadu 626005",626002,9.5833367,77.9117212,ChIJue-jm5HTBjsRYVCjSiUToEQ,https://www.google.com/maps/place/?q=place_id:ChIJue-jm5HTBjsRYVCjSiUToEQ,part_261,2026-09-20 19:02:01,4263
MODEL MOULDERZ Design & Research Studio,Interior Designers,Interior designer,"Interior designer, Architect, Architectural designer, Building designer, Real Estate Builders & Construction Company, Architecture firm",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 82487 57564,http://www.modelmoulderz.com/,3.7,,"117, Madurai Rd, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.600549899999999,77.9545048,ChIJKfo0oAUrATsRFciW59H-P_U,https://www.google.com/maps/place/?q=place_id:ChIJKfo0oAUrATsRFciW59H-P_U,part_261,2026-09-20 19:02:01,4264
Amar Dexign Scape - Architects in Virudhunagar,Interior Designers,Interior designer,"Interior designer, Civil engineer, Architecture firm, Landscape designer",626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",+91 99946 80055,http://www.amardxn.com/,4.8,,"52, First Floor, 53, S Car St, Sivagami Puram, Virudhunagar, Tamil Nadu 626001",Sivagami Puram,9.5841008,77.9527085,ChIJ1aQIzpUsATsRsbMNYz6n-i8,https://www.google.com/maps/place/?q=place_id:ChIJ1aQIzpUsATsRsbMNYz6n-i8,part_261,2026-09-20 19:02:01,4265
Space Design,Interior Designers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"vaigai street, RS Nagar, Hanumaan Nagar, Villipathiri, Tamil Nadu 626001",Hanumaan Nagar,9.5715244,77.971397,ChIJB_9WHwAtATsR4-bqfk4_PpM,https://www.google.com/maps/place/?q=place_id:ChIJB_9WHwAtATsR4-bqfk4_PpM,part_261,2026-09-20 19:02:01,4266
The woodz aroma,Interior Designers,Interior designer,Interior designer,626002,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Virudhunagar Collectorate SO, Chatrareddiapatti BO, Kokkalanjeri BO",N/A,N/A,5.0,,"JW4W+3VM, Pillaiyar Koil St, GT Nagar, Virudhunagar, Chinnamuppanpatti, Tamil Nadu 626001",GT Nagar,9.605012,77.947172,ChIJHfcDEwArATsR80QKLFBODmw,https://www.google.com/maps/place/?q=place_id:ChIJHfcDEwArATsR80QKLFBODmw,part_261,2026-09-20 19:02:01,4267
