business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Le Chocolatier, Teachers colony,Tuticorin",Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,4.5,,"near, 97G/3D,teachers colony main road, Rajiv nagar bridge, Millerpuram, Thoothukudi, Tamil Nadu 628008","Millerpuram, Sinnamani Nagar",8.7965094,78.1198182,ChIJu1xHFyrvAzsRG0MRHG_cdtM,https://www.google.com/maps/place/?q=place_id:ChIJu1xHFyrvAzsRG0MRHG_cdtM,part_265,2026-09-20 19:01:42
ARUNA BAKERY,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,4.6,,"Bryant Nagar, Thoothukudi, Tamil Nadu 628008",Bryant Nagar,8.7920094,78.13307449999999,ChIJQXMJMTnvAzsRv1UB_QknRCU,https://www.google.com/maps/place/?q=place_id:ChIJQXMJMTnvAzsRv1UB_QknRCU,part_265,2026-09-20 19:01:42
Annamalai Bakery & Sweets,Patisserie,Restaurant,Restaurant,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 95006 20789,N/A,4.2,,"1, Sundaravel Puram 5th Street, Thoothukudi, Tamil Nadu 628002","Sundervel Puram, Thalamuthu Nagar",8.8199525,78.1477103,ChIJF2jNXobvAzsR0HyHJPUy2I4,https://www.google.com/maps/place/?q=place_id:ChIJF2jNXobvAzsR0HyHJPUy2I4,part_265,2026-09-20 19:01:42
British bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,4.5,,"Curlybrace Academy, opposite CGE Colony, CGE Colony, Thoothukudi, Tamil Nadu 628001",CGE Colony,8.798397,78.153509,ChIJhYeN1-zvAzsRe1LxUqxIV_g,https://www.google.com/maps/place/?q=place_id:ChIJhYeN1-zvAzsRe1LxUqxIV_g,part_265,2026-09-20 19:01:42
SJ Muscoth Halwa,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 94440 01339,http://www.sjsweets.com/,4.5,,"6/99L, Mudalur, Tamil Nadu 628702",628205,8.4189802,77.9453917,ChIJy6nxeF5eUjoRDqCZP6vQOtk,https://www.google.com/maps/place/?q=place_id:ChIJy6nxeF5eUjoRDqCZP6vQOtk,part_265,2026-09-20 19:01:42
The Swiss Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 79784 81379,https://www.facebook.com/swissbakerybam/,4.7,,"Zanana Hospital Rd, Tata Benz Square, Godavarish Nagar, Brahmapur, Odisha 760001","Tata Benz Square, Godavarish Nagar",19.3064516,84.798402,ChIJacDWNp9RPToRWOara8ETVus,https://www.google.com/maps/place/?q=place_id:ChIJacDWNp9RPToRWOara8ETVus,part_265,2026-09-20 19:01:43
Shwetas Bakehouse,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 85598 73333,N/A,4.9,,"Shweta’s Bakehouse, Sanskriti apartment, Old Jewargi Rd, behind more supermarket, Kotnoor, Kalaburagi, Karnataka 585102",Kotnoor,17.30535,76.8178282,ChIJp9a-cTq_yDsRLR2Xp_pWbdo,https://www.google.com/maps/place/?q=place_id:ChIJp9a-cTq_yDsRLR2Xp_pWbdo,part_265,2026-09-20 19:01:43
Chef Bakers - Brookefield,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop, Cupcake shop, Pastry shop, Wedding bakery",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 74060 66610,https://chefbakers.com/,3.8,,"Shop No, 123/1, 188, ITPL Main Rd, besides McDonalds, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037","Kundalahalli, Brookefield",12.9671864,77.7166306,ChIJ7fCI_yMSrjsR2qsIAdHoYx8,https://www.google.com/maps/place/?q=place_id:ChIJ7fCI_yMSrjsR2qsIAdHoYx8,part_265,2026-09-20 19:01:43
Minni's Bake Station,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop, Cupcake shop, Service establishment, Wedding bakery",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 70017 52886,N/A,4.9,,"Minni's Bake Station, 628205, India",628205,23.531103599999998,87.300174,ChIJrX58_0Vx9zkRVTmnj_GtvNo,https://www.google.com/maps/place/?q=place_id:ChIJrX58_0Vx9zkRVTmnj_GtvNo,part_265,2026-09-20 19:01:43
Baker's Basket,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 74394 85447,https://www.bakersbasket.in/,5.0,,"Karunamoyee Housing Estate, ED Block, Sector 2, Bidhannagar, West Bengal 700091","ED Block, Sector 2, Bidhannagar",22.584238799999998,88.42135809999999,ChIJTWd2EwB1AjoRmNdfraR_mt0,https://www.google.com/maps/place/?q=place_id:ChIJTWd2EwB1AjoRmNdfraR_mt0,part_265,2026-09-20 19:01:43
