business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MS Store,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",N/A,N/A,5.0,13.0,"Bus Stand, Ottapidaram (subdivision, K.Thalavaipuram, Tamil Nadu 628301",628301,8.8820973,77.9537841,ChIJz8h3yYz5AzsRLBtHHkBLUck,https://www.google.com/maps/place/?q=place_id:ChIJz8h3yYz5AzsRLBtHHkBLUck,part_265,2026-09-20 19:13:27,33408
Tamil Store,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 97154 67732,N/A,,,"Palai Road, osanatham, Osanoothu, Kulasekaranallur, Tamil Nadu 628401",osanatham,8.891865,77.9826549,ChIJ6w2agvT5AzsRRV5qv129iVo,https://www.google.com/maps/place/?q=place_id:ChIJ6w2agvT5AzsRRV5qv129iVo,part_265,2026-09-20 19:13:27,33409
Selvi Store,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 86756 19831,N/A,,,"83, Puthuyamputhur, Tamil Nadu 628402",628301,8.8828996,78.0168115,ChIJf-IuBer5AzsRi86HewEgUP8,https://www.google.com/maps/place/?q=place_id:ChIJf-IuBer5AzsRi86HewEgUP8,part_265,2026-09-20 19:13:27,33410
AATHI LAKSHIMI STORE,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 98656 15356,N/A,1.0,1.0,"Melathettapirai, Mela Thattaparai, Tamil Nadu 628304",628301,8.815724,78.0173241,ChIJDbjgAJb3AzsR5DJr7fK7x0A,https://www.google.com/maps/place/?q=place_id:ChIJDbjgAJb3AzsR5DJr7fK7x0A,part_265,2026-09-20 19:13:27,33411
Ramar Store,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",N/A,N/A,4.0,2.0,"VX6P+Q4Q, Savarimangalam, Tamil Nadu 628301",628301,8.8619687,77.9853645,ChIJiRwVAAj5AzsRGwXKqusybAM,https://www.google.com/maps/place/?q=place_id:ChIJiRwVAAj5AzsRGwXKqusybAM,part_265,2026-09-20 19:13:27,33412
Duraivela,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",N/A,N/A,,,"VXJ3+WFW, K.Thalavaipuram, Tamil Nadu 628301",628301,8.8822773,77.9537129,ChIJ6diVeLT5AzsRYNtdkd5n3y0,https://www.google.com/maps/place/?q=place_id:ChIJ6diVeLT5AzsRYNtdkd5n3y0,part_265,2026-09-20 19:13:27,33413
Pathariya Kirana,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",N/A,N/A,5.0,,"Phanda Kala, Madhya Pradesh 462030",628301,23.228176599999998,77.2065552,ChIJpaGa1-RffDkRY5daMA2LbFw,https://www.google.com/maps/place/?q=place_id:ChIJpaGa1-RffDkRY5daMA2LbFw,part_265,2026-09-20 19:13:27,33414
Jeevan Kiranam,Kirana Store,Grocery store,Grocery store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 98664 90407,N/A,5.0,,"1-88/1, 15-9-18, Rekurthi Rd, Karimnagar, Telangana 505451",628301,18.4711079,79.11060549999999,ChIJGTDOyjnfzDsRAAAAML5jK2U,https://www.google.com/maps/place/?q=place_id:ChIJGTDOyjnfzDsRAAAAML5jK2U,part_265,2026-09-20 19:13:28,33415
Dhanbad Kirana,Kirana Store,General store,General store,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 62035 39290,N/A,4.3,,"kirana store, Lohar Kulli, Dhanbad, Jharkhand 826007",Lohar Kulli,23.817746699999997,86.4505155,ChIJT03ZVMu89jkRQTm3neNMVNw,https://www.google.com/maps/place/?q=place_id:ChIJT03ZVMu89jkRQTm3neNMVNw,part_265,2026-09-20 19:13:28,33416
Manikanta Kiranam & General Store Mankammathota,Kirana Store,Supermarket,Supermarket,628301,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kailasapuram S.O (Tuticorin), Dalavaipuram B.O, Kandasamypuram B.O",+91 99518 98755,N/A,4.1,,"7-2, 923/A, Vemulawada Rd, Mankamma Thota, Karimnagar, Telangana 505001",Mankamma Thota,18.4371206,79.11648029999999,ChIJhxBbii7ZzDsRg1fnkZCm-PY,https://www.google.com/maps/place/?q=place_id:ChIJhxBbii7ZzDsRg1fnkZCm-PY,part_265,2026-09-20 19:13:28,33417
