business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MKM Kids Wear,Kids Wear Store,Clothing store,Clothing store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,4.0,1.0,"MKM Bhanu Residency, 2nd Floor, Main Road, Maharaja Nagar, Tirunelveli, Tamil Nadu 627011",Maharaja Nagar,8.7093685,77.7462489,ChIJDf09eUkNBDsRTiFO9QMgt6o,https://www.google.com/maps/place/?q=place_id:ChIJDf09eUkNBDsRTiFO9QMgt6o,part_263,2026-09-20 19:01:49,829
TWIN KIDZ,Kids Wear Store,Clothing store,Clothing store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99523 81933,N/A,4.3,13.0,"197b/1, Tiruchendur Main Rd, Samathanapuram, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Samathanapuram, Palayamkottai",8.726053,77.7428664,ChIJqbXEagARBDsRTbq9de3Ci60,https://www.google.com/maps/place/?q=place_id:ChIJqbXEagARBDsRTbq9de3Ci60,part_263,2026-09-20 19:01:49,830
Puppy Shame-Kids Cloth Store-Tirunelveli,Kids Wear Store,Clothing store,Clothing store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,5.0,1.0,"Baskar Tower, 20, Sivanthipatti Rd, Thiyagaraja Nagar, Tirunelveli, Tamil Nadu 627011",Thiyagaraja Nagar,8.6974625,77.75675919999999,ChIJafQ7OrkNBDsR-EG8SdUHyCo,https://www.google.com/maps/place/?q=place_id:ChIJafQ7OrkNBDsR-EG8SdUHyCo,part_263,2026-09-20 19:01:49,831
BABY'S ULAGAM,Kids Wear Store,Childrens Store,Childrens Store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 462 420 0958,N/A,3.6,100.0,"PPGJ+994, Murugankurichi, Palayamkottai, Tirunelveli, Tamil Nadu 627002","Murugankurichi, Palayamkottai",8.725883099999999,77.7309404,ChIJRxfkMa0RBDsRpV2IrkqPhKA,https://www.google.com/maps/place/?q=place_id:ChIJRxfkMa0RBDsRpV2IrkqPhKA,part_263,2026-09-20 19:01:49,832
Dress Me Fashions,Kids Wear Store,Clothing store,Clothing store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96738 66540,N/A,4.5,11.0,"Shop No 3, B/4.B, near Apollo Pharmacy Palayamkottai 3 Samadanapuram, Samathanapuram, Tirunelveli, Tamil Nadu 627002",Samathanapuram,8.7250926,77.7429672,ChIJ6Z5Rf6QRBDsRzoGlm08FO9w,https://www.google.com/maps/place/?q=place_id:ChIJ6Z5Rf6QRBDsRzoGlm08FO9w,part_263,2026-09-20 19:01:49,833
BABY'S GALLERY,Kids Wear Store,Baby store,Baby store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94433 13817,N/A,2.9,12.0,"NO.8, RAHMATH NAGAR, TIRUCHENDUR, South Main Road, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Kamaraj Nagar",8.716732,77.7617173,ChIJJatW0v0NBDsRSFGAIQRTnDM,https://www.google.com/maps/place/?q=place_id:ChIJJatW0v0NBDsRSFGAIQRTnDM,part_263,2026-09-20 19:01:49,834
Shree Pareek Sports & Foot Wear,Kids Wear Store,Sports Accessories Wholesaler,"Sports Accessories Wholesaler, Cricket shop, Exercise equipment store, Playground equipment supplier, Shoe store, Sporting goods store, Sportswear store",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98439 13668,N/A,4.8,87.0,"68, Kailasapuram Rd, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001",Tirunelveli Junction,8.7286269,77.71104919999999,ChIJ7bBE7zkRBDsRMqjY9IkeSJ0,https://www.google.com/maps/place/?q=place_id:ChIJ7bBE7zkRBDsRMqjY9IkeSJ0,part_263,2026-09-20 19:01:49,835
Yasin Gifts & Toys,Kids Wear Store,Childrens Store,"Childrens Store, Gift shop, Toy store, Watch store",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 98945 58636,N/A,4.8,22.0,"Raja building, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001",Tirunelveli Junction,8.7312829,77.7115523,ChIJOeKR09URBDsRnLDHu11KPng,https://www.google.com/maps/place/?q=place_id:ChIJOeKR09URBDsRnLDHu11KPng,part_263,2026-09-20 19:01:50,836
Pikaboo Kidz,Kids Wear Store,Baby clothing store,Baby clothing store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 82203 16720,https://pikabookidz.in/,4.9,274.0,"ST-2, 23-A/1, PUDHUGRAMAM STREET, Singamparai, Mukkudal, Tamil Nadu 627601",627353,8.7509258,77.53408759999999,ChIJ-esKcAA9BDsRfCw3Zwml7SQ,https://www.google.com/maps/place/?q=place_id:ChIJ-esKcAA9BDsRfCw3Zwml7SQ,part_263,2026-09-20 19:01:50,837
Pop streetz,Kids Wear Store,Dress store,Dress store,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,4.4,40.0,"parasakthi building, junction Junction Busstop, opposite Junction, Balabagya Nagar South, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Balabagya Nagar South, Tirunelveli Junction",8.7321511,77.7109066,ChIJkadwiI0RBDsRbMj7Q5l9lGQ,https://www.google.com/maps/place/?q=place_id:ChIJkadwiI0RBDsRbMj7Q5l9lGQ,part_263,2026-09-20 19:01:50,838
