business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Darling Mahal,Banquet Hall,Banquet hall,Banquet hall,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 98945 55550,http://darlingresidency.com/,4.5,,"11/8, Anna Salai, Bishop David Nagar, Kosapet, Vellore, Tamil Nadu 632001","Bishop David Nagar, Kosapet",12.9076989,79.1305314,ChIJb-WkZUM5rTsRAPf3u8HoZok,https://www.google.com/maps/place/?q=place_id:ChIJb-WkZUM5rTsRAPf3u8HoZok,part_270,2026-09-20 19:02:01
GRE PALACE,Banquet Hall,Banquet hall,"Banquet hall, Business networking company, Event management company, Exhibition planner, Function room facility, Meeting planning service, Party planner",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 91505 53698,https://www.facebook.com/grepalace/,4.4,,"1, Bharathy Dasan street, Anna Nagar, East, TollGate, Vellore, Tamil Nadu 632001","Anna Nagar, East, TollGate",12.8989665,79.13222429999999,ChIJ64FI5No5rTsR3ynG66aO0QY,https://www.google.com/maps/place/?q=place_id:ChIJ64FI5No5rTsR3ynG66aO0QY,part_270,2026-09-20 19:02:01
Celebrate Banquet Hall - Spree Surabi,Banquet Hall,Banquet hall,Banquet hall,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,4.6,,"Officer's Line, Bishop David Nagar, Sankaranpalayam, Vellore, Tamil Nadu 632001","Bishop David Nagar, Sankaranpalayam",12.9060563,79.13187889999999,ChIJL-1nSgA5rTsRBN8woPczJWw,https://www.google.com/maps/place/?q=place_id:ChIJL-1nSgA5rTsRBN8woPczJWw,part_270,2026-09-20 19:02:01
Yelagiri Hall,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,4.0,,"W45M+68J, 10, Officers Line, Next To Darling Residency, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.908048599999999,79.13206,ChIJtef6iN04rTsR1ISptLlmHdg,https://www.google.com/maps/place/?q=place_id:ChIJtef6iN04rTsR1ISptLlmHdg,part_270,2026-09-20 19:02:01
Vijayalakshmi Celebration Hub,Banquet Hall,Banquet hall,Banquet hall,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97896 85249,N/A,3.9,,"W43R+MR3, Dharmalingam Street, Poonthotam, Velapadi, Vellore, Tamil Nadu 632001","Lakshmipuram, Velapadi",12.9041385,79.14203499999999,ChIJadaVGOM4rTsRKIzHOhdMCIo,https://www.google.com/maps/place/?q=place_id:ChIJadaVGOM4rTsRKIzHOhdMCIo,part_270,2026-09-20 19:02:01
"Shree Ranjini Function Hall-A/C | Marriage Lawn | School Function Lawn | Birthday Lawn | Party Hall| Vellore,Tamil Nadu,India",Banquet Hall,Banquet hall,"Banquet hall, Function room facility, Marriage celebrant, Outdoor activity organiser, Wedding venue",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 88257 75677,https://ranjinimahal.vercel.app/,4.3,,"kamarajar nagar,sripuram main road, Thorapadi, Vellore, Tamil Nadu 632002","Kurisilapattu, Ramset Nagar, Thorapadi",12.887436399999999,79.1186079,ChIJb3jhruY5rTsR_1JcCHUs0No,https://www.google.com/maps/place/?q=place_id:ChIJb3jhruY5rTsR_1JcCHUs0No,part_270,2026-09-20 19:02:01
Celebrate Banquet Hall In Vellore,Banquet Hall,Banquet hall,Banquet hall,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 89258 00295,https://www.spreehotels.com/zip-by-spree-hotels-surabi-international/,5.0,,"Basement, 33, Officer's Line, Bishop David Nagar, Kosapet, Vellore, Tamil Nadu 632001","Bishop David Nagar, Kosapet",12.9059987,79.13101739999999,ChIJ4ewaasw5rTsRnLiZo9iz5dE,https://www.google.com/maps/place/?q=place_id:ChIJ4ewaasw5rTsRnLiZo9iz5dE,part_270,2026-09-20 19:02:01
R N Function Palace,Banquet Hall,Function room facility,Function room facility,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94450 47979,N/A,4.0,,"No. 92, Officer's Line, Next To Rani Mahal, Krishna Nagar, Veerasamy Nagar, Vellore, Tamil Nadu 632001","Krishna Nagar, Veerasamy Nagar",12.8998498,79.1311911,ChIJ6bsuDCA5rTsRcTQmBS8Hh9o,https://www.google.com/maps/place/?q=place_id:ChIJ6bsuDCA5rTsRcTQmBS8Hh9o,part_270,2026-09-20 19:02:01
LKS FUNCTION HALL,Banquet Hall,Banquet hall,Banquet hall,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94439 64585,N/A,4.0,,"Arni Rd, Vallalar Nagar, Sainathapuram, RV Nagar, Vellore, Tamil Nadu 632001","Vallalar Nagar, Sainathapuram, RV Nagar",12.894496,79.1356095,ChIJZZfuloA5rTsR-K1AYGy2PrU,https://www.google.com/maps/place/?q=place_id:ChIJZZfuloA5rTsR-K1AYGy2PrU,part_270,2026-09-20 19:02:01
Lakshmi Janakiraman Thirumana Mandapam,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue, Function room facility, Marriage celebrant",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97904 19650,N/A,4.9,,"19, Pillaiyar Koil St, R N Palayam, Vellore, Tamil Nadu 632001",R N Palayam,12.903157799999999,79.12010289999999,ChIJL2SuKQk5rTsRWZTPNK3107M,https://www.google.com/maps/place/?q=place_id:ChIJL2SuKQk5rTsRWZTPNK3107M,part_270,2026-09-20 19:02:01
