business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CSC Computer Education,Computer Training Institute,Computer training school,Computer training school,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 88704 72431,https://csccomputereducation.in/csc-computer-education-profile/,4.9,,"39/C, Elangovadigal St, Phase 5, Pulavar Nagar, Rangapuram, Tamil Nadu Housing Board, Vellore, Tamil Nadu 632009","Phase 5, Pulavar Nagar, Rangapuram, Tamil Nadu Housing Board",12.9404542,79.1712785,ChIJ35R-83o4rTsRGztBGw4kW2A,https://www.google.com/maps/place/?q=place_id:ChIJ35R-83o4rTsRGztBGw4kW2A,part_270,2026-09-20 19:02:06
FIIT,Computer Training Institute,Training center,Training center,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 86955 77650,https://www.fiit.co.in/,4.9,,"No.84/1, 1st FLOOR, Arni Rd, Sainathapuram, RV Nagar, Vellore, Tamil Nadu 632001","Sainathapuram, RV Nagar",12.8976206,79.1352295,ChIJ-YcDTyk5rTsRlPaCxV8YYmg,https://www.google.com/maps/place/?q=place_id:ChIJ-YcDTyk5rTsRlPaCxV8YYmg,part_270,2026-09-20 19:02:06
CSC Computer Education Vellore,Computer Training Institute,Education center,Education center,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96292 69695,N/A,4.9,,"6, Avalkara Street, near CMC Eye Hospital, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.9116269,79.13359779999999,ChIJqUz_0Lo5rTsR_TzS6fWCfEk,https://www.google.com/maps/place/?q=place_id:ChIJqUz_0Lo5rTsR_TzS6fWCfEk,part_270,2026-09-20 19:02:06
MADTEC SKILL DEVELOPMENT (COMPUTER TRAINING CENTER),Computer Training Institute,Training center,"Training center, Software Training Institute",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 90033 34128,https://madtec.in/,4.9,,"32/18 vijaragavapuram, 3rd St, Nethaji Nagar, Sathuvachari, Vellore, Tamil Nadu 632009","Nethaji Nagar, Sathuvachari",12.937153499999999,79.15779239999999,ChIJo1Szwnw4rTsRGdqBj5iA6tQ,https://www.google.com/maps/place/?q=place_id:ChIJo1Szwnw4rTsRGdqBj5iA6tQ,part_270,2026-09-20 19:02:06
CSRI COMPUTER EDUCATION INSTITUTION IN VELLORE/ Register by govt of india & tamilnadu,Computer Training Institute,Training center,Training center,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 63018 15635,https://csricomputereducationvlr.blogspot.com/,4.8,,"32/18, Vijaragavapuram, 3rd St, Sathuvachari, Vellore, Tamil Nadu 632009","Nethaji Nagar, Sathuvachari",12.9372692,79.157772,ChIJZc-1_XU5rTsRbO0e_wgjqeg,https://www.google.com/maps/place/?q=place_id:ChIJZc-1_XU5rTsRbO0e_wgjqeg,part_270,2026-09-20 19:02:06
Infinity Computer Learning Center,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer consultant, Computer service, Educational institution, Technology park, Training center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 90422 66313,N/A,5.0,,"1st floor, S Complex, A.R, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.9334837,79.1544546,ChIJ46f_83o4rTsRqxKLyF-bAlM,https://www.google.com/maps/place/?q=place_id:ChIJ46f_83o4rTsRqxKLyF-bAlM,part_270,2026-09-20 19:02:06
CADD Centre - Vellore,Computer Training Institute,Software Training Institute,"Software Training Institute, Educational institution, Training center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 81110 29100,http://www.caddcentre.com/,4.9,,"3rd Floor, CSI Complex, 3/1, Anna Salai, near Raja Theatre, Kosapet, Vellore, Tamil Nadu 632001",Kosapet,12.9133555,79.1324538,ChIJk5PA9t04rTsRKBQqEpLDRhU,https://www.google.com/maps/place/?q=place_id:ChIJk5PA9t04rTsRKBQqEpLDRhU,part_270,2026-09-20 19:02:06
CCI Computer Education,Computer Training Institute,Computer service,"Computer service, Coaching Center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 97863 91627,N/A,4.7,,"No 45/10/1 NGL complex, Arni Rd, Vellore, Tamil Nadu 632001",Kosapet,12.9079103,79.1335895,ChIJ5ausbOc4rTsRJnagnqcPrBY,https://www.google.com/maps/place/?q=place_id:ChIJ5ausbOc4rTsRJnagnqcPrBY,part_270,2026-09-20 19:02:06
Livewire - Vellore,Computer Training Institute,Software Training Institute,"Software Training Institute, Educational institution, Training center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 81110 29200,https://livewireindia.com/location/vellore-anna+salai/,5.0,,"3rd Floor, CSI Complex, No.3/1, Anna Salai, near Raja Theatre, Vellore, Tamil Nadu 632001",Kosapet,12.9133362,79.13234829999999,ChIJSagQ1Qc5rTsRilQo0u1Q_MQ,https://www.google.com/maps/place/?q=place_id:ChIJSagQ1Qc5rTsRilQo0u1Q_MQ,part_270,2026-09-20 19:02:06
"Harrison CADD® Bagayam,Vellore|Govt.Authorized Training Centre.",Computer Training Institute,Training center,"Training center, Civil engineer, Engineering consultant, Mechanical engineer",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 94434 92823,https://www.harrisoncadd.com/,5.0,,"CMC Medical College, 714B, Lazarus Road, Bagayam, Vellore, Tamil Nadu 632002",632001,12.8790631,79.1308514,ChIJdUxQHuo4rTsRRm1hpzO3DFg,https://www.google.com/maps/place/?q=place_id:ChIJdUxQHuo4rTsRRm1hpzO3DFg,part_270,2026-09-20 19:02:06
