business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
TopMart Supermarket,Multi-location Retail Chains,Supermarket,"Supermarket, Grocery store",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 72044 47111,N/A,3.9,5287.0,"Devasandra Main Rd, Priyadarshini Layout, Krishnarajapuram, Bengaluru, Karnataka 560036","Priyadarshini Layout, Krishnarajapuram",13.00438,77.7084862,ChIJ3_rABaURrjsRUR1XG6FsS_Q,https://www.google.com/maps/place/?q=place_id:ChIJ3_rABaURrjsRUR1XG6FsS_Q,part_265,2026-09-20 19:02:21,7807
Mancherikalam Brothers,Multi-location Retail Chains,Wholesale grocer,"Wholesale grocer, Food products supplier, General store, Grocery delivery service, Hotel supply store, Kitchen supply store, Restaurant supply store, Rice shop, Rice wholesaler, Spices Wholesaler",628206,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kulasekarapatnam S.O, Alanthalai B.O, Kallamozhi B.O",N/A,N/A,4.3,15.0,"Mannar (Kurattiyil junction, SH 6, Mannar, Keralam 689622",628206,9.3188859,76.53335729999999,ChIJNTAKX3YhBjsR4jMU4D77kY8,https://www.google.com/maps/place/?q=place_id:ChIJNTAKX3YhBjsR4jMU4D77kY8,part_265,2026-09-20 19:03:06,10246
Sri Murugan Stores,Multi-location Retail Chains,General store,General store,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 44 2573 4260,N/A,4.5,,"Thiruvottiyur High Rd, Periyar Nagar, Tiruvottiyur, Chennai, Tamil Nadu 600019","Periyar Nagar, Tiruvottiyur",13.1672484,80.3039354,ChIJgRdid9xvUjoRpUh5JS1IZpQ,https://www.google.com/maps/place/?q=place_id:ChIJgRdid9xvUjoRpUh5JS1IZpQ,part_265,2026-09-20 19:07:13,22573
Sri Sastha Supermarket,Multi-location Retail Chains,Grocery store,Grocery store,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 87545 04818,N/A,3.8,,"No 4/59, thiruvallur street, New Otteri 1st Main Rd, Otteri Extension, Vandalur, Tamil Nadu 600048",Otteri Extension,12.8816162,80.074007,ChIJ7crym3L2UjoRSanXG9Z0-3Y,https://www.google.com/maps/place/?q=place_id:ChIJ7crym3L2UjoRSanXG9Z0-3Y,part_265,2026-09-20 19:07:13,22574
RMK SUPER MARKET,Multi-location Retail Chains,Indian grocery store,"Indian grocery store, Supermarket",628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 93848 07144,http://rmksupermarket.com/,3.8,,"No:6,PC,3/2,TNHB,(near Avadi municipality) AVADI, CHENNAI-600054, Chennai, Tamil Nadu 600054","Kannigapuram, TNHB Mig V Block",13.115501,80.102856,ChIJRb3hTHliUjoRLrloTPprDoI,https://www.google.com/maps/place/?q=place_id:ChIJRb3hTHliUjoRLrloTPprDoI,part_265,2026-09-20 19:07:13,22575
Annai Store,Multi-location Retail Chains,Department store,Department store,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 94428 14202,N/A,5.0,,"V2FH+7JP, pudiyamputhur, Tamil Nadu 628402",628212,8.873207599999999,78.02908099999999,ChIJi2zAbtD7AzsR-j7hj5hpYko,https://www.google.com/maps/place/?q=place_id:ChIJi2zAbtD7AzsR-j7hj5hpYko,part_265,2026-09-20 19:07:13,22576
Ashirwad Supermarket,Multi-location Retail Chains,Supermarket,"Supermarket, Baby store, Grocery delivery service",628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 88673 33340,https://dukaan.is/ashirwad-supermarket,4.2,4323.0,"284, 7th Main Rd, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076","BTM Layout 2nd Stage, BTM Layout",12.9151706,77.6059697,ChIJNUjXCwIVrjsRnjd_g8G3CKE,https://www.google.com/maps/place/?q=place_id:ChIJNUjXCwIVrjsRnjd_g8G3CKE,part_265,2026-09-20 19:07:14,22577
Village Super Market,Multi-location Retail Chains,Grocery store,"Grocery store, Supermarket",628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 96639 42355,N/A,4.1,1889.0,"100, Wheeler Rd Ext, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560005","Balaji Layout, Cooke Town",12.9995499,77.6230863,ChIJwSCK4u4WrjsRsbYqE1dZzrg,https://www.google.com/maps/place/?q=place_id:ChIJwSCK4u4WrjsRsbYqE1dZzrg,part_265,2026-09-20 19:07:14,22578
Retail Way,Multi-location Retail Chains,Supermarket,Supermarket,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 99101 49915,https://retailway.in/,5.0,9.0,"Mez & 1st Floor, A83, Pocket D, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020","Pocket D, Okhla Phase II, Okhla Industrial Estate",28.5386293,77.26949259999999,ChIJg1AjEbrjDDkR646zdv-xQzU,https://www.google.com/maps/place/?q=place_id:ChIJg1AjEbrjDDkR646zdv-xQzU,part_265,2026-09-20 19:07:14,22579
More,Multi-location Retail Chains,Supermarket,Supermarket,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",N/A,https://www.moreretail.in/,5.0,1.0,"Shop No 581/56, 1B, Uttarahalli Main Rd, near Bangalore Internation Public School, Ankappa Layout, Chikkalasandra, Bengaluru, Karnataka 560061","Ankappa Layout, Chikkalasandra",12.9098426,77.55050539999999,ChIJETX-H9A_rjsRGzh_0mSIx04,https://www.google.com/maps/place/?q=place_id:ChIJETX-H9A_rjsRGzh_0mSIx04,part_265,2026-09-20 19:07:14,22580
Annanagar Super Market,Multi-location Retail Chains,Supermarket,Supermarket,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 93446 44444,N/A,4.1,,"11th Main Road, C30/193, 2nd Ave, Anna Nagar, Chennai, Tamil Nadu 600040","A E Block, Block AE, Anna Nagar",13.084858299999999,80.2066364,ChIJD4gp0R5kUjoR1l6S1uG9CGo,https://www.google.com/maps/place/?q=place_id:ChIJD4gp0R5kUjoR1l6S1uG9CGo,part_265,2026-09-20 19:07:14,22581
Reliance Smart Point,Multi-location Retail Chains,Grocery store,Grocery store,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 1800 102 7382,https://relianceretail.com/reliance-smart.html,3.7,,"Temple, opposite to Attinkuzhi Rd, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",628212,8.550129,76.87620509999999,ChIJw7MYW7m_BTsRowAF5R5s0Zg,https://www.google.com/maps/place/?q=place_id:ChIJw7MYW7m_BTsRowAF5R5s0Zg,part_265,2026-09-20 19:07:14,22582
QRS Super Centre,Multi-location Retail Chains,Grocery store,"Grocery store, Bakery and Cake Shop, Clothing store, Shopping mall",628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 96569 15664,http://www.qrs.in/,4.3,,"Ground Floor TC 5, Planet X, Sree Dhanya Homes Apartments, Sreekariyam - Aakkulam Rd, near Mankuzhi JN, Gowari Nagar, Ulloor, Thiruvananthapuram, Keralam 695011","Gowari Nagar, Ulloor",8.5457827,76.9214753,ChIJs10Af0q5BTsRwlLXZnSMZGM,https://www.google.com/maps/place/?q=place_id:ChIJs10Af0q5BTsRwlLXZnSMZGM,part_265,2026-09-20 19:07:14,22583
John's Hyper market Kazhakuttam,Multi-location Retail Chains,Hypermarket,Hypermarket,628212,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Panickanadarkudiyiruppu S.O, Viramanickam B.O",+91 81379 44414,N/A,3.8,,"HVCC+M4X TYRE PLAZA, BENEATH OFFICE, LANE, Kazhakuttam, Vadakkumbhagam, Mallappally, Thiruvananthapuram, Kerala 695582","Kazhakuttam, Vadakkumbhagam",8.5718876,76.87029249999999,ChIJ4RvJ9Bi_BTsRlIUCP2Wd-1M,https://www.google.com/maps/place/?q=place_id:ChIJ4RvJ9Bi_BTsRlIUCP2Wd-1M,part_265,2026-09-20 19:07:14,22584
