business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tuty Memory Wrappers,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 95008 98494,https://www.instagram.com/tutymemorywrappers/,5.0,70.0,"76D/32/1A, West Street, KVK Nagar, Muthukrishna Nagar, Thoothukudi, Tamil Nadu 628008","KVK Nagar, Muthukrishna Nagar",8.8088067,78.1326222,ChIJlyXKg-DvAzsRZGOmHzHgpl8,https://www.google.com/maps/place/?q=place_id:ChIJlyXKg-DvAzsRZGOmHzHgpl8,part_265,2026-09-20 19:02:06,5332
dream Gift,Gifting,Gift shop,"Gift shop, Corporate gift supplier, Digital printer, Wallpaper installer",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 74488 55055,N/A,5.0,18.0,"kayal complex, VE Rd, near St Antony's church, Thoothukudi, Tamil Nadu 628001",Shanmugapuram,8.8021238,78.1508042,ChIJQ5HLUczvAzsReq8hgvud2Wo,https://www.google.com/maps/place/?q=place_id:ChIJQ5HLUczvAzsReq8hgvud2Wo,part_265,2026-09-20 19:02:06,5333
Royal Fancy and Gifts,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",N/A,N/A,3.9,7.0,"shop, 338/5, LF Rd, opposite to Canara Bank, Raththinapuri, Arumuganeri, Kayalpattinam, Tamil Nadu 628202",Raththinapuri,8.5641841,78.1197418,ChIJdbjxasuNAzsRK0sez_EJCRY,https://www.google.com/maps/place/?q=place_id:ChIJdbjxasuNAzsRK0sez_EJCRY,part_265,2026-09-20 19:02:06,5334
Sumaiya Gift Shop,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 93443 35104,N/A,4.6,15.0,"H47F+FW6, Thoothukudi-Tiruchendur-Kanyakumari Rd, Kayalpattinam, Tamil Nadu 628204",628205,8.5636682,78.12476099999999,ChIJ32Hg1feRAzsRqnJ3IFeDq4g,https://www.google.com/maps/place/?q=place_id:ChIJ32Hg1feRAzsRqnJ3IFeDq4g,part_265,2026-09-20 19:02:06,5335
JAYA FANCY,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 63741 19232,http://www.website.com/,5.0,2.0,"Tiruchendur, Mela Thiruchendur, Tamil Nadu 628205",628205,8.5191629,78.0676427,ChIJ4bO0awCPAzsRR7saVy2bwiM,https://www.google.com/maps/place/?q=place_id:ChIJ4bO0awCPAzsRR7saVy2bwiM,part_265,2026-09-20 19:02:06,5336
KANMANI STORES,Gifting,Gift shop,"Gift shop, Pen store",628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 79044 13721,N/A,4.8,11.0,"5 , LK Lebbai Thambi Salai, Kayalpatnam, Kayalpattinam, Tamil Nadu 628204",628205,8.563341,78.1232526,ChIJv9z29JKRAzsRDXQHoxnVXmI,https://www.google.com/maps/place/?q=place_id:ChIJv9z29JKRAzsRDXQHoxnVXmI,part_265,2026-09-20 19:02:06,5337
M P M SHOPPING,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 63808 53099,N/A,2.0,1.0,"2/259/18, Tiruchendur Rd, Spic Nagar, Muthiahpuram, Thoothukudi, Tamil Nadu 628005","Spic Nagar, Muthiahpuram",8.7422223,78.1234135,ChIJR9OOlGzvAzsR_8l3Vjt7X3g,https://www.google.com/maps/place/?q=place_id:ChIJR9OOlGzvAzsR_8l3Vjt7X3g,part_265,2026-09-20 19:02:06,5338
Unique Shopping,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 63834 84648,https://uniqueshoppingkaraikudi.com/product-category/all/,4.8,594.0,"Anna nagar, Karaikudi, Tamil Nadu 630002",Anna nagar,10.0813457,78.7724865,ChIJkY2wMRVnADsRsDW5nQAo2-o,https://www.google.com/maps/place/?q=place_id:ChIJkY2wMRVnADsRsDW5nQAo2-o,part_265,2026-09-20 19:02:06,5339
Sarah Gift,Gifting,Gift shop,Gift shop,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 98944 31475,N/A,1.0,1.0,"Main Road, near Post Office, Kayalpattinam, Tamil Nadu 628204",628205,8.5637929,78.1237297,ChIJD_9zOyWTAzsR6u1LCDgrcgQ,https://www.google.com/maps/place/?q=place_id:ChIJD_9zOyWTAzsR6u1LCDgrcgQ,part_265,2026-09-20 19:02:06,5340
4U Toys & Treats,Gifting,Toy store,Toy store,628205,Tamilnadu Circle,"Southern Region, Madurai",Tuticorin Division,"Kayamozhi S.O, Manakad B.O, Mela Tiruchendur B.O",+91 93856 91437,N/A,4.8,18.0,"Perison Plaza, 73/J6, Sixty Feet Road, Polpettai East, Thoothukudi, Tamil Nadu 628002",Polpettai East,8.812735499999999,78.1382489,ChIJRz5VnDnvAzsRqP7ZuTVsHig,https://www.google.com/maps/place/?q=place_id:ChIJRz5VnDnvAzsRqP7ZuTVsHig,part_265,2026-09-20 19:02:06,5341
