business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ADVOCATE ABISHEK KUMAR,Advocate and Lawyer,Lawyer,"Lawyer, Divorce lawyer, Employment attorney, Family law attorney, Insurance attorney, Law firm, Medical lawyer, Patent attorney, Real estate attorney",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 63831 55464,https://advocate-abishek-kumar.localo.site/,5.0,,"4/107/2, 2nd St, Ayyasamy Colony, Muthammal Colony, Thoothukudi, Tamil Nadu 628002","Ayyasamy Colony, Muthammal Colony",8.8188417,78.12372979999999,ChIJt6_T3IHvAzsRDd1_BFpV640,https://www.google.com/maps/place/?q=place_id:ChIJt6_T3IHvAzsRDd1_BFpV640,part_266,2026-09-20 19:02:15,5520
Advocate Rubaraja,Advocate and Lawyer,Lawyers association,"Lawyers association, Attorney referral service, Divorce service, Elder law attorney, Law firm, Lawyer",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96773 00033,http://www.thoothukudilawfirm.com/,5.0,,"Street Number 4 W, Bryant Nagar, Thoothukudi, Tamil Nadu 628008",Bryant Nagar,8.7919225,78.1308164,ChIJ4cdVoiTvAzsRF4AgFwdRkpc,https://www.google.com/maps/place/?q=place_id:ChIJ4cdVoiTvAzsRF4AgFwdRkpc,part_266,2026-09-20 19:02:15,5521
Selvaraj N,Advocate and Lawyer,Family law attorney,Family law attorney,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 461 232 8839,N/A,4.5,25.0,"111, Sivanthakulam Main Road, West Shanmugapuram, Shanmugapuram, Thoothukudi, Tamil Nadu 628001","West Shanmugapuram, Shanmugapuram",8.800568499999999,78.1472331,ChIJO0hh8qLvAzsRWz4plyOmlp8,https://www.google.com/maps/place/?q=place_id:ChIJO0hh8qLvAzsRWz4plyOmlp8,part_266,2026-09-20 19:02:15,5522
Advocate V. Perumal Office,Advocate and Lawyer,Lawyer,Lawyer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94422 32877,N/A,4.0,,"Building No. 176, 2nd Floor, MM Complex, Palayam Kottai Road, opp. Rajaji Park, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.8002671,78.1349195,ChIJD-Ealb_vAzsRBsVtvVryf-g,https://www.google.com/maps/place/?q=place_id:ChIJD-Ealb_vAzsRBsVtvVryf-g,part_266,2026-09-20 19:02:15,5523
S.MUTHU KUMAR RAJA ADVOCATE,Advocate and Lawyer,Legal services,Legal services,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 90955 75300,https://www.timezway.com/,,,"First Floor, 4A/125R, Ettayapuram Rd, Jothi Nagar, Thoothukudi, Tamil Nadu 628002",Jothi Nagar,8.8192146,78.1314735,ChIJN5LVGMPvAzsRedj_znKRoQs,https://www.google.com/maps/place/?q=place_id:ChIJN5LVGMPvAzsRedj_znKRoQs,part_266,2026-09-20 19:02:15,5524
Ayyappan Bose Advocate,Advocate and Lawyer,Lawyer,Lawyer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,5.0,,"Om Sakthi Nagar, 679A3/6, Road, Annai Theresa Nagar, Manthithoppu, Kovilpatti, Tamil Nadu 628502",Annai Theresa Nagar,9.160868599999999,77.86376899999999,ChIJC6A3nFytBjsR97YOZMER7Xk,https://www.google.com/maps/place/?q=place_id:ChIJC6A3nFytBjsR97YOZMER7Xk,part_266,2026-09-20 19:02:15,5525
Advocate Muthusamy,Advocate and Lawyer,Law firm,Law firm,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94436 56807,N/A,5.0,,"Puthukiramam, Kovilpatti, Tamil Nadu 628501",Puthukiramam,9.1742326,77.8767154,ChIJLcq4UWizBjsRzS8Iv7HN3mQ,https://www.google.com/maps/place/?q=place_id:ChIJLcq4UWizBjsRzS8Iv7HN3mQ,part_266,2026-09-20 19:02:15,5526
"advocate, deling with law.",Advocate and Lawyer,Lawyer,Lawyer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94434 52603,N/A,2.8,,"No 56,5th bangalow street, kadalayur, Road, Kovilpatti, Tamil Nadu 628501",Puthukiramam,9.1770091,77.87840109999999,ChIJ06-0pGOyBjsRxPhDLGM0BGQ,https://www.google.com/maps/place/?q=place_id:ChIJ06-0pGOyBjsRxPhDLGM0BGQ,part_266,2026-09-20 19:02:15,5527
Advocate Alagarsamy Kovilpatti - Legal Voice,Advocate and Lawyer,Lawyer,Lawyer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 78119 55800,https://youtube.com/@voiceoflaw001?si=nfJL0c5JkkU56hbZ,3.0,,"No: 96/4, Sethu Palace 1st Floor, Main Road, Opp to Sara Thanga Maligai Between to SBI ATM & TMB ATM, Alampatti, Tamil Nadu 628502",Indira Nagar,9.1748871,77.85673799999999,ChIJjfkfZFmzBjsRhBvujR1e_70,https://www.google.com/maps/place/?q=place_id:ChIJjfkfZFmzBjsRhBvujR1e_70,part_266,2026-09-20 19:02:15,5528
T.KARUPPASAMY ADVOCATE,Advocate and Lawyer,Lawyer,Lawyer,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 99444 64038,N/A,5.0,,"5VG8+9P9, Krishna Kovilpatti South Street, Kovilpatti, Tamil Nadu 628502","V.O.C. Nagar, Kadershan Koil",9.175914299999999,77.8668734,ChIJiywN7W6yBjsRLa3EbKT30L8,https://www.google.com/maps/place/?q=place_id:ChIJiywN7W6yBjsRLa3EbKT30L8,part_266,2026-09-20 19:02:15,5529
Advocate Sharanyagandhi,Advocate and Lawyer,Legal services,Legal services,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",N/A,N/A,,,"No 557, A27/6, Pasuvanthanai Rd, S.S Nagar, Pandavarmangalam, Tamil Nadu 628502","S.S Nagar, Shanmugasigamani Nagar",9.1628198,77.8793045,ChIJH5USUKyzBjsRHyJU1RpFEmQ,https://www.google.com/maps/place/?q=place_id:ChIJH5USUKyzBjsRHyJU1RpFEmQ,part_266,2026-09-20 19:02:15,5530
