business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JEENiUS,NEET and JEE Coaching Center,Educational institution,Educational institution,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97105 97248,https://www.jeenius.co.in/,4.9,76.0,"Very close to old, bus-stand, 37/6, Jeyaraj Rd, Meenakshipuram West, Meenakshipuram, Thoothukudi, Tamil Nadu 628001","Meenakshipuram West, Meenakshipuram",8.8066826,78.1389562,ChIJ6wevAEfvAzsRWOKklyFzvD4,https://www.google.com/maps/place/?q=place_id:ChIJ6wevAEfvAzsRWOKklyFzvD4,part_266,2026-09-20 19:02:11,4817
NathaN IIT-JEE/ NEET Exams Coaching Institute,NEET and JEE Coaching Center,Coaching Center,Coaching Center,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 96261 42375,https://www.nathaniitjee.com/,4.9,112.0,"First Floor, Pearl Plaza, Vasanth & Co Complex, No 48/17A, Melur Bungalow St, Pudugramam, Thoothukudi, Tamil Nadu 628001",Pudugramam,8.8025909,78.1417006,ChIJIcw24MPvAzsRbI61udM57-M,https://www.google.com/maps/place/?q=place_id:ChIJIcw24MPvAzsRbI61udM57-M,part_266,2026-09-20 19:02:11,4818
Pala Neet Academy,NEET and JEE Coaching Center,Coaching Center,Coaching Center,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 72008 09222,http://palaneetacademy.in/,4.8,57.0,"SV Complex, Trivandrum Rd, opp. Thuthiyin Kottai Church, near New Busstand, NGO B Colony, Tirunelveli, Tamil Nadu 627007",NGO B Colony,8.6957472,77.72733989999999,ChIJoYwENY8TBDsRRnw9qako0oQ,https://www.google.com/maps/place/?q=place_id:ChIJoYwENY8TBDsRRnw9qako0oQ,part_266,2026-09-20 19:02:11,4819
Rajapalayam NEET Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Training center",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 94438 52701,N/A,4.8,18.0,"SBI Upstairs, No 65/A3, Chidambaranar Street, Sankarankovil Rd, Turning, Rajapalayam, Tamil Nadu 626117",Turning,9.4440404,77.555099,ChIJwx8PpPHpBjsRAtoeBYIo05o,https://www.google.com/maps/place/?q=place_id:ChIJwx8PpPHpBjsRAtoeBYIo05o,part_266,2026-09-20 19:02:11,4820
Mayflower Academy NEET/IIT-JEE /NATA Coaching Centre,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 86672 02569,https://mayfloweracademy.in/,4.8,25.0,"11 A, Perumal Kovil St, opp. to New Shape Tailors, Tuticorin Melur, Shanmugapuram, Thoothukudi, Tamil Nadu 628002","Tuticorin Melur, Shanmugapuram",8.8055896,78.1476715,ChIJd-ZUr5nvAzsRcVaosMOWjm4,https://www.google.com/maps/place/?q=place_id:ChIJd-ZUr5nvAzsRcVaosMOWjm4,part_266,2026-09-20 19:02:11,4821
Kerala neet academy Tuticorin,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 80988 09828,http://keralaneetacademy.com/,4.7,86.0,"VVD SIGNAL, Palayamkottai Rd, Chidambara Nagar, Sinnamani Nagar, Thoothukudi, Tamil Nadu 628008","Chidambara Nagar, Sinnamani Nagar",8.7991856,78.1329863,ChIJ622ngtXvAzsRglwXJ6lL6sI,https://www.google.com/maps/place/?q=place_id:ChIJ622ngtXvAzsRglwXJ6lL6sI,part_266,2026-09-20 19:02:11,4822
"Aakash Institute - Best NEET & IIT-JEE Coaching in Tirunelveli, Vannarpettai",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 88000 12980,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-tirunelveli-vannarpettai-coaching-center-vannarpettai-ind-tn-tirunelveli-99273/Home?utm_source=locator&utm_medium=googleplaces,4.6,137.0,"2nd Floor, City Shopping Centre, No 185G, Trivandrum Rd, opposite Reliance Digital, Vannarpettai, Tirunelveli, Tamil Nadu 627003",Vannarpettai,8.727435,77.7173042,ChIJa8pwTFQNBDsRyfptWyyhOaQ,https://www.google.com/maps/place/?q=place_id:ChIJa8pwTFQNBDsRyfptWyyhOaQ,part_266,2026-09-20 19:02:11,4823
Jeya NEET/IIT-JEE Academy,NEET and JEE Coaching Center,Education center,Education center,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 95436 67733,http://www.jeyaacademy.com/,4.8,50.0,"70/12, 1st floor, KVS Complex,balavinayagar koil street, Melur Bungalow St, near old bus stand, Thoothukudi, Tamil Nadu 628001",Pudugramam,8.8025481,78.1401989,ChIJZ2qksLrvAzsRtt6tX3UwRSs,https://www.google.com/maps/place/?q=place_id:ChIJZ2qksLrvAzsRtt6tX3UwRSs,part_266,2026-09-20 19:02:11,4824
SITJEE CLASSES,NEET and JEE Coaching Center,Coaching Center,Coaching Center,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 97101 10142,http://www.sitjee.in/,4.6,104.0,"54, Ramakrishna Mutt Rd, Jeth Nagar, Raja Annamalaipuram, Chennai, Tamil Nadu 600028","Jeth Nagar, Raja Annamalaipuram",13.028773699999999,80.2663594,ChIJhcdDHNBnUjoRkGiAdFio99M,https://www.google.com/maps/place/?q=place_id:ChIJhcdDHNBnUjoRkGiAdFio99M,part_266,2026-09-20 19:02:11,4825
Kerala NEET Academy,NEET and JEE Coaching Center,Coaching Center,Coaching Center,628716,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Nalatinputhur S.O, Idaiseval B.O, K.Sivagnanapuram B.O",+91 80988 09818,http://www.keralaneetacademy.com/,4.7,1251.0,"APARTMENT, near R.T.O Office, Udaya Nagar, Tirunelveli, Tamil Nadu 627007",Udaya Nagar,8.6919468,77.73274529999999,ChIJW0Xv-W8SBDsR6T7AYNKEgDw,https://www.google.com/maps/place/?q=place_id:ChIJW0Xv-W8SBDsR6T7AYNKEgDw,part_266,2026-09-20 19:02:11,4826
