business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dream art tattoo studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 77085 22017,N/A,4.6,11.0,"Marthandam Trivandrum-Nagercoil, Highwaypa, Pammam, Marthandam, Tamil Nadu 629165",Pammam,8.304258899999999,77.22835359999999,ChIJRzbVcS1VBDsR7z-PK4agP5I,https://www.google.com/maps/place/?q=place_id:ChIJRzbVcS1VBDsR7z-PK4agP5I,part_267,2026-09-20 19:02:06
Militant Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 74181 36477,N/A,5.0,150.0,"1st floor, Elgin plaza, Nagacode junction, Kulasekharam, Tamil Nadu 629161",629172,8.3611215,77.2935309,ChIJzRBXg7RXBDsRL_ntRt5yyUs,https://www.google.com/maps/place/?q=place_id:ChIJzRBXg7RXBDsRL_ntRt5yyUs,part_267,2026-09-20 19:02:06
Vel Tattoo,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 86106 49834,https://www.facebook.com/jegadeeshwarasankar.jegadeeshwarasankar.3?mibextid=ZbWKwL,5.0,204.0,"Beach, Kanniyakumari, Tamil Nadu 629702",629172,8.0793684,77.54960319999999,ChIJr1wfboHtBDsRFz_yubvg-Ys,https://www.google.com/maps/place/?q=place_id:ChIJr1wfboHtBDsRFz_yubvg-Ys,part_267,2026-09-20 19:02:06
Remy Tattoo Studio Nagercoil,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Laser hair removal service, Tattoo and piercing shop, Tattoo removal service",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 73732 77831,https://www.nagercoiltattoostudio.com/,5.0,193.0,"Remy Tattoo Studio, AK Complex, near Tamil Teastall, Paruthi Vilai, Erumbukadu, Vempannur East, Tamil Nadu 629004",Paruthi Vilai,8.146353999999999,77.387282,ChIJI3qbSszxBDsRUdpMczunMSM,https://www.google.com/maps/place/?q=place_id:ChIJI3qbSszxBDsRUdpMczunMSM,part_267,2026-09-20 19:02:06
Coexist Tattoo and cosmetics,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 90252 46124,N/A,4.9,128.0,"Kuzhithurai main road opp Lakshmi mandapam Marthandam, Kuzhithurai, Tamil Nadu 629163",629172,8.3163407,77.2019159,ChIJg_l4wERVBDsRaN0HZGvlsbU,https://www.google.com/maps/place/?q=place_id:ChIJg_l4wERVBDsRaN0HZGvlsbU,part_267,2026-09-20 19:02:06
Fill & Feel Nail Studio,Tattoo and Nail Art Studio,Nail salon,Nail salon,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 93614 89830,N/A,4.8,32.0,"Amman Kovil Street, Nagercoil, Tamil Nadu 629001",629172,8.1850226,77.41742529999999,ChIJiauQIQDxBDsRNZoWUt2Kbz0,https://www.google.com/maps/place/?q=place_id:ChIJiauQIQDxBDsRNZoWUt2Kbz0,part_267,2026-09-20 19:02:06
The ink spot tattoo studio,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Mehndi Designer, Tattoo and piercing shop",629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,http://theinkspot2023.com/,5.0,516.0,"268,1st Floor, Bharathi Salai, opp. Express Avenue Mall, Padupakkam, Royapettah, Chennai, Tamil Nadu 600002","Padupakkam, Royapettah",13.0584587,80.2655577,ChIJT8D8DfxnUjoRCZAdD7nnvak,https://www.google.com/maps/place/?q=place_id:ChIJT8D8DfxnUjoRCZAdD7nnvak,part_267,2026-09-20 19:02:06
nn tattooz studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 79040 29044,N/A,5.0,352.0,"1st Floor, Rahim complex, Annavalaivu Arts college, Anna valaivu, opposite Thuvakudimalai, Trichy, Thuvakudi, Tamil Nadu 620022",629172,10.768233,78.7997742,ChIJicEA33mNqjsRL_xCN2Dyrdw,https://www.google.com/maps/place/?q=place_id:ChIJicEA33mNqjsRL_xCN2Dyrdw,part_267,2026-09-20 19:02:06
Tattoo shop,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",N/A,N/A,5.0,1.0,"opp. Toll gate, Vivekanandapuram, Kanniyakumari, Tamil Nadu 629702",Vivekanandapuram,8.0939692,77.5483282,ChIJOXMcmmvtBDsRVbuhg-WdBoE,https://www.google.com/maps/place/?q=place_id:ChIJOXMcmmvtBDsRVbuhg-WdBoE,part_267,2026-09-20 19:02:06
Touch of Ink Tattoo school and studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,629172,Tamilnadu circle,"Southern Region, Madurai",Kanniyakumari Division,"Methukummal B.O, S.T.Mankad S.O",+91 88489 40052,http://www.touchofinktattoo.com/,4.9,,"Vellayambalam - Sasthamangalam Rd, Jawahar Nagar, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.513979299999999,76.9650178,ChIJ-529c9C7BTsRiHrAvrvvE7A,https://www.google.com/maps/place/?q=place_id:ChIJ-529c9C7BTsRiHrAvrvvE7A,part_267,2026-09-20 19:02:07
