business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vel's medical and dental care,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 88703 83023,N/A,5.0,,"2/500, Sithurajapuram, Tamil Nadu 626189",Sithurajapuram,9.4253885,77.787221,ChIJL9P4YgDPBjsR049ieQWZjjU,https://www.google.com/maps/place/?q=place_id:ChIJL9P4YgDPBjsR049ieQWZjjU,part_262,2026-09-20 19:01:56
K.R.SKIN AND HAIR LASER CLINIC - DR.K.Nancy (Consultant dermatologist & cosmetologist) | Best Dermatologist in sivakasi,Clinics,Skin care clinic,Skin care clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 88070 90044,N/A,4.9,,"FIRST FLOOR, ALWAR PLAZA, 2005 D-5, PKN Rd, Solai Colony, Kamarajapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Kamarajapuram Colony",9.4559581,77.80481,ChIJic9qTcHPBjsRcU5RAxbwlU4,https://www.google.com/maps/place/?q=place_id:ChIJic9qTcHPBjsRcU5RAxbwlU4,part_262,2026-09-20 19:01:56
Madhubala clinic,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,3.7,,"CQHR+97C, PSR Nagar, Sithurajapuram, Tamil Nadu 626189","PSR Nagar, Sithurajapuram",9.4286438,77.79001559999999,ChIJrfyiSADPBjsRDkBcOgh6cDU,https://www.google.com/maps/place/?q=place_id:ChIJrfyiSADPBjsRDkBcOgh6cDU,part_262,2026-09-20 19:01:56
DR.ARUN'S HOMOEOPATHY CLINIC & PHYSIOTHERAPY CENTRE,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99524 89152,N/A,4.9,,"Naranapuram Rd, near Seventhday school, Senayapuram Colony, Naranapuram, Tamil Nadu 626189",Senayapuram Colony,9.4486097,77.8211718,ChIJqyfDkQfPBjsRTKAYvTxMObk,https://www.google.com/maps/place/?q=place_id:ChIJqyfDkQfPBjsRTKAYvTxMObk,part_262,2026-09-20 19:01:56
SBJ HEALTH CENTRE PVT LTD,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 4562 274 961,N/A,3.7,,"52-A, CHAIRMAN A.S.K THANGAIAH ROAD NEAR HINDU MATCHES, NARANAPURAM MUKKU, Bypass Rd, Sivakasi, Tamil Nadu 626189",Parapatti,9.4486501,77.80505409999999,ChIJoVCc3iLPBjsRRXiLyc-pI-0,https://www.google.com/maps/place/?q=place_id:ChIJoVCc3iLPBjsRRXiLyc-pI-0,part_262,2026-09-20 19:01:56
Ayyanar Clinic,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 91590 26748,N/A,5.0,,"1635/3, PKN Rd, Solai Colony, Senayapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Senayapuram Colony",9.4535746,77.8042385,ChIJh2mRcwDPBjsRDBdjyMGOsj4,https://www.google.com/maps/place/?q=place_id:ChIJh2mRcwDPBjsRDBdjyMGOsj4,part_262,2026-09-20 19:01:56
Namm Siddha Clinic,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90254 56271,N/A,5.0,,"340, Jawaharlal Nehru Rd, Pathirakaliamman Kovil, Street, Pathirakaliamman Kovil, Sivakasi, Tamil Nadu 626189","Pathirakaliamman Kovil, Street, Pathirakaliamman Kovil",9.4559765,77.7968147,ChIJ9y5h3IrPBjsRzbjBK5K36rY,https://www.google.com/maps/place/?q=place_id:ChIJ9y5h3IrPBjsRzbjBK5K36rY,part_262,2026-09-20 19:01:56
Rajesh Clinic,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.5,,"FR24+XGP, Bypass Rd, Solai Colony, Senayapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Senayapuram Colony",9.4524749,77.80633449999999,ChIJ0ff0O-7OBjsRoypDoLBAodM,https://www.google.com/maps/place/?q=place_id:ChIJ0ff0O-7OBjsRoypDoLBAodM,part_262,2026-09-20 19:01:56
Guru Vignesh clinic,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94435 84598,N/A,3.0,,"B CART (LANDMARK, Bypass Rd, Senayapuram Colony, Sivakasi, Tamil Nadu 626189",Senayapuram Colony,9.4485896,77.80609869999999,ChIJQ_X5U7rPBjsRlWERi7aiLFo,https://www.google.com/maps/place/?q=place_id:ChIJQ_X5U7rPBjsRlWERi7aiLFo,part_262,2026-09-20 19:01:56
Gokul Clinic,Clinics,ENT Specialist,ENT Specialist,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 63821 64394,N/A,5.0,,"Thangappa Nagar, Sithurajapuram, Tamil Nadu 626189","Thangappa Nagar, Sithurajapuram",9.430261699999999,77.788253,ChIJCT4pNGjPBjsRUtPRwCqCu2A,https://www.google.com/maps/place/?q=place_id:ChIJCT4pNGjPBjsRUtPRwCqCu2A,part_262,2026-09-20 19:01:56
SRI STEPHEN CLINIC,Clinics,Medical clinic,Medical clinic,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,4.5,,"Senayapuram Colony, Sivakasi, Tamil Nadu 626189",Senayapuram Colony,9.4528421,77.8078582,ChIJN8lDSgDPBjsR2fIZ6kT83wM,https://www.google.com/maps/place/?q=place_id:ChIJN8lDSgDPBjsR2fIZ6kT83wM,part_262,2026-09-20 19:01:56
Ramesh Clinic,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 4562 220 369,N/A,5.0,,"2/1354, Road, National Colony, Sivakanthi Nagar, Pallapatti, Kiltiruthangal, Tamil Nadu 626189","National Colony, Sivakanthi Nagar, Pallapatti",9.4621905,77.8068567,ChIJAZc0DXfPBjsR6OG7Xq1xUxo,https://www.google.com/maps/place/?q=place_id:ChIJAZc0DXfPBjsR6OG7Xq1xUxo,part_262,2026-09-20 19:01:56
Jeyam Health Care Hospital,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 4562 272 093,http://www.jeyamhealth.in/,5.0,,"Bustop, 5/207 A, PKN Rd, near Rathinavillas, Samypuram Colony, Senayapuram Colony, Sivakasi, Tamil Nadu 626189","Samypuram Colony, Senayapuram Colony",9.4520579,77.8075314,ChIJC83kpjDPBjsRZThE9qs6w9U,https://www.google.com/maps/place/?q=place_id:ChIJC83kpjDPBjsRZThE9qs6w9U,part_262,2026-09-20 19:01:56
Mekala Dental and Implant Centre,Clinics,Dental clinic,"Dental clinic, Oral surgeon",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97904 45800,N/A,5.0,,"bustop, 1286, PKN Rd, near RATHNA VILAS, next to hotel thiraviyam, Solai Colony, Senayapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Senayapuram Colony",9.4538151,77.8063543,ChIJ_WvXNKvPBjsR46-H9QqCRQY,https://www.google.com/maps/place/?q=place_id:ChIJ_WvXNKvPBjsR46-H9QqCRQY,part_262,2026-09-20 19:01:56
Muthu children's clinic,Clinics,Hospital,Hospital,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,,,"FR32+8X9, Senayapuram Colony, Sivakasi, Tamil Nadu 626189",Senayapuram Colony,9.4532835,77.802472,ChIJDQpqRQDPBjsRsjTlIIGJwpM,https://www.google.com/maps/place/?q=place_id:ChIJDQpqRQDPBjsRsjTlIIGJwpM,part_262,2026-09-20 19:01:56
