business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94894 10489,https://bsnl.co.in/,,,"2/921-P, EAST STREET, Sithurajapuram, Tamil Nadu 626189",Sithurajapuram,9.425343999999999,77.787368,ChIJj_lnlynPBjsR7MJnzAW973w,https://www.google.com/maps/place/?q=place_id:ChIJj_lnlynPBjsR7MJnzAW973w,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75981 18150,https://bsnl.co.in/,,,"2/123, Bharathiyar St, near Balaji Medical, Sithurajapuram, Tamil Nadu 626189",Sithurajapuram,9.4248877,77.78625869999999,ChIJQ48LlKfPBjsRcSqleSCc_kI,https://www.google.com/maps/place/?q=place_id:ChIJQ48LlKfPBjsRcSqleSCc_kI,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75987 33007,https://bsnl.co.in/,,,"2/1504-B, KAMARAJAR NAGAR, Viswanatham, Tamil Nadu 626189","KAMARAJAR NAGAR, Viswanatham",9.4307333,77.8037141,ChIJH1HZlKzPBjsR-8DBMxRGJe0,https://www.google.com/maps/place/?q=place_id:ChIJH1HZlKzPBjsR-8DBMxRGJe0,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75986 34047,https://bsnl.co.in/,,,"648, Pallapatti Rd, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.473215999999999,77.8123681,ChIJYTQViuHPBjsRo3j6acHrHN0,https://www.google.com/maps/place/?q=place_id:ChIJYTQViuHPBjsRo3j6acHrHN0,part_262,2026-09-20 19:02:20
Nila Cables and Fiber net,IT and Telecom Services,Cable company,"Cable company, Internet service provider",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 76397 89579,N/A,4.4,21.0,"2/1734, Shankar Nagar, Sasi Nagar, Sithurajapuram, Tamil Nadu 626189","Shankar Nagar, Sasi Nagar",9.429576299999999,77.7885141,ChIJEaMjYZ7PBjsRGS0CgvTehE0,https://www.google.com/maps/place/?q=place_id:ChIJEaMjYZ7PBjsRGS0CgvTehE0,part_262,2026-09-20 19:02:20
SURIYA CABLE &INTERNET (WI-FI) NETWORK,IT and Telecom Services,Internet service provider,Internet service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99421 37844,http://www.spectafiber.com/,4.9,26.0,"5/3131, 5/3131, Naranapuram Rd, behind Ruby Water, Muneeswaran Colony, Subramaniapuram Colony, Sivakasi, Tamil Nadu 626189","Muneeswaran Colony, Subramaniapuram Colony",9.4474746,77.8100911,ChIJBXn1NFrPBjsRTJpk-_K3cx4,https://www.google.com/maps/place/?q=place_id:ChIJBXn1NFrPBjsRTJpk-_K3cx4,part_262,2026-09-20 19:02:20
Sense Connect,IT and Telecom Services,Internet service provider,Internet service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 73737 78377,https://senseconnect.in/,4.8,517.0,"103-F, Arumugam Rd., Kaliappa Nagar, Sivakasi, Tamil Nadu 626123",Kaliappa Nagar,9.4434437,77.7960677,ChIJoV-8t-DOBjsRVLLywMBy1fY,https://www.google.com/maps/place/?q=place_id:ChIJoV-8t-DOBjsRVLLywMBy1fY,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75985 69307,https://bsnl.co.in/,,,"161E-1, 4th STREET, Pandian Nagar, Pallapatti, Kiltiruthangal, Tamil Nadu 626130","Pandian Nagar, Pallapatti",9.467041799999999,77.8134668,ChIJnZwxK2jPBjsR-fVfv0z6pB4,https://www.google.com/maps/place/?q=place_id:ChIJnZwxK2jPBjsR-fVfv0z6pB4,part_262,2026-09-20 19:02:20
Ramesh Cable,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 97519 18635,https://www.connectrcn.net/,5.0,1.0,"2/150/C, South Street, Vetrilaiyurani, Sivakasi, Tamil Nadu 626128",626189,9.390794099999999,77.8202975,ChIJlzg3h23JBjsRJ3io7nKrDuQ,https://www.google.com/maps/place/?q=place_id:ChIJlzg3h23JBjsRJ3io7nKrDuQ,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94867 65099,https://bsnl.co.in/,,,"Indira Nagar, PALLA PATTI, Senayapuram Colony, Naranapuram, Tamil Nadu 626189","Indira Nagar, PALLA PATTI, Senayapuram Colony",9.4492835,77.8135211,ChIJ-Y-zCsrPBjsRcM9E-is-Xow,https://www.google.com/maps/place/?q=place_id:ChIJ-Y-zCsrPBjsRcM9E-is-Xow,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 75988 20397,https://bsnl.co.in/,,,"61/a2r, ratha KRISHNAN colony, THIRUTHANGAL, Sivakasi, Tamil Nadu 626130",THIRUTHANGAL,9.4513873,77.7942367,ChIJtf3TIJ_PBjsRTT9rLcvzo_s,https://www.google.com/maps/place/?q=place_id:ChIJtf3TIJ_PBjsRTT9rLcvzo_s,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94867 65054,https://bsnl.co.in/,,,"Supreme nagar, 2/2337b2, Viswanatham, Tamil Nadu 626123",Viswanatham,9.428762899999999,77.7994903,ChIJcRw1RunPBjsRfO4tVW9k2DA,https://www.google.com/maps/place/?q=place_id:ChIJcRw1RunPBjsRfO4tVW9k2DA,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94894 33419,https://bsnl.co.in/,,,"01, near EAST POLICE STATION, Kiltiruthangal, Tamil Nadu 626130",Pallapatti,9.4688,77.8181,ChIJYaDqHk3PBjsRM1mjFiZCp2o,https://www.google.com/maps/place/?q=place_id:ChIJYaDqHk3PBjsRM1mjFiZCp2o,part_262,2026-09-20 19:02:20
Royal mobiles and Electronics,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 63691 22194,N/A,5.0,4.0,"2/1607, Sithurajapuram, Tamil Nadu 626189",Sithurajapuram,9.4259325,77.7876692,ChIJJbqDD4bPBjsRi5M_SR92hfU,https://www.google.com/maps/place/?q=place_id:ChIJJbqDD4bPBjsRi5M_SR92hfU,part_262,2026-09-20 19:02:20
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 83003 84406,https://bsnl.co.in/,,,"1/554, Palaniandavar Colony, RAJEEVGANDHI NAGAR, SITHURAJAPURAM, Sivakasi, Tamil Nadu 626189","Palaniandavar Colony, RAJEEVGANDHI NAGAR, SITHURAJAPURAM",9.448687,77.798554,ChIJsQvLSW3PBjsRJdLZS6T8pfI,https://www.google.com/maps/place/?q=place_id:ChIJsQvLSW3PBjsRJdLZS6T8pfI,part_262,2026-09-20 19:02:20
