business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
A1 Cool Point Car A/C & Electrical Works,Auto Electrician and AC Repair,Auto radiator repair service,"Auto radiator repair service, Mechanic",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 89702 29688,N/A,5.0,59.0,"324, Hulimangala Rd, near City choice, Shikaripalya, Electronic City, Hulimangala, Karnataka 560100","Shikaripalya, Electronic City",12.8326803,77.6475648,ChIJS-Y-LhBrrjsRxArH_MLUVuQ,https://www.google.com/maps/place/?q=place_id:ChIJS-Y-LhBrrjsRxArH_MLUVuQ,part_264,2026-09-20 19:01:58
Mk auto eletrical and battery work,Auto Electrician and AC Repair,Mechanic,Mechanic,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 74065 32561,N/A,5.0,1.0,"950, 32nd E Cross Rd, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560049","4th T Block East, Tilak Nagar, Jayanagar",12.927125,77.59560599999999,ChIJhYtrBaYVrjsRO3c3I5EVi38,https://www.google.com/maps/place/?q=place_id:ChIJhYtrBaYVrjsRO3c3I5EVi38,part_264,2026-09-20 19:01:58
HSR AUTO ELECTRICAL WORKS,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98808 62157,N/A,4.7,127.0,"505 24th Main Rd, 1st Cross Rd, near govt schoolnear, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","Phase 3, Agara Village, 1st Sector, HSR Layout",12.9224126,77.6505833,ChIJVY73yjkVrjsRfSJdW86ZwJg,https://www.google.com/maps/place/?q=place_id:ChIJVY73yjkVrjsRfSJdW86ZwJg,part_264,2026-09-20 19:01:58
Divya Dharshan Cool Service,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Microwave oven repair service, Refrigerator repair service, Television repair service, Washer & dryer repair service, Water Filter Supplier",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97906 06396,N/A,5.0,372.0,"main road, Reddiarpatti, Moolakaraipatti, Tirunelveli, Tamil Nadu 627007",Reddiarpatti,8.6741136,77.74191119999999,ChIJleVxyG8TBDsRzvnCJjUF98k,https://www.google.com/maps/place/?q=place_id:ChIJleVxyG8TBDsRzvnCJjUF98k,part_264,2026-09-20 19:01:58
"Anwar auto electrician all type of Vehicle Repairing works, Also washing m/c,TV, Ac, repairing",Auto Electrician and AC Repair,Mechanic,Mechanic,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98690 43133,N/A,4.9,14.0,"GROUP NO.4 CHAWL NO.360 ROOM NO.4285, TAGORE NAGAR, Vikhroli East, Mumbai, Maharashtra 400083","TAGORE NAGAR, Vikhroli East",19.1215738,72.9304724,ChIJ_25BPiDH5zsRWmFBCwjORKo,https://www.google.com/maps/place/?q=place_id:ChIJ_25BPiDH5zsRWmFBCwjORKo,part_264,2026-09-20 19:01:58
Indian car AC and Auto Electrical service,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99161 35244,N/A,4.0,29.0,"No33 3rd Cross 100 Feet Ring Road, ilyasnagar j P Nagar, Bengaluru, Karnataka 560111","Ilyas Nagar, J. P. Nagar",12.9086387,77.5705385,ChIJdc2rJ2UVrjsRWImqX_sOQ18,https://www.google.com/maps/place/?q=place_id:ChIJdc2rJ2UVrjsRWImqX_sOQ18,part_264,2026-09-20 19:01:58
A F AUTO ELECTRICAL AND AC WORKS,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98864 95347,N/A,4.5,81.0,"Hosur Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru, Karnataka 560114","Aishwarya Crystal Layout, Singasandra",12.8762628,77.6475755,ChIJT3sZGwgVrjsRJpLs50J_lV0,https://www.google.com/maps/place/?q=place_id:ChIJT3sZGwgVrjsRJpLs50J_lV0,part_264,2026-09-20 19:01:58
Sai Maruthi Car Ac and Electrical works,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99864 55065,N/A,4.7,50.0,"31, Puttenahalli Rd, Jarganahalli, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078","Jarganahalli, JP Nagar Phase 6, J. P. Nagar",12.8983075,77.58252089999999,ChIJh3PTjLQVrjsRkahJps8flkc,https://www.google.com/maps/place/?q=place_id:ChIJh3PTjLQVrjsRkahJps8flkc,part_264,2026-09-20 19:01:58
Aadarsh car A/C & electrical works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 88614 18333,N/A,4.3,169.0,"1/2, near ganesh temple, Nrupathunga Nagar, Kothnoor Dinne, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560062","Nrupathunga Nagar, Kothnoor Dinne, 8th Phase, J. P. Nagar",12.878387499999999,77.58409979999999,ChIJGZ6qY0oVrjsRj7JCWZPvRUY,https://www.google.com/maps/place/?q=place_id:ChIJGZ6qY0oVrjsRj7JCWZPvRUY,part_264,2026-09-20 19:01:58
S.M.N. Air Condition & Auto Electrical Works,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Auto electrical service",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98453 72825,N/A,4.2,43.0,"#36 9th c main, 100 ft ring road, btm 1st stage opp to indian oli petrol buunk, Bengaluru, Karnataka 560029","KEB Colony, 1st Stage, BTM 1st Stage",12.9168459,77.60578869999999,ChIJX9tzJwIVrjsRewKBTuKRoPk,https://www.google.com/maps/place/?q=place_id:ChIJX9tzJwIVrjsRewKBTuKRoPk,part_264,2026-09-20 19:01:58
