business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel Velladhurai,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Biryani restaurant, Indian restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99652 89465,N/A,3.8,1022.0,"Main Road, Madurai - Tenkasi Main Rd, near MGR Silai, Puliyangudi, Tamil Nadu 627855",627761,9.1787416,77.39819279999999,ChIJVbGUejeQBjsRijY10CtgGv4,https://www.google.com/maps/place/?q=place_id:ChIJVbGUejeQBjsRijY10CtgGv4,part_264,2026-09-20 19:01:46
Ponpandian family restaurant பொன்பாண்டியன் குடும்ப உணவகம்,South Indian Restaurant,Family restaurant,Family restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 90038 83993,N/A,4.1,644.0,"6CP5+66W, Vasudevanallur, Tamil Nadu 627758",627761,9.2347252,77.4073968,ChIJbamkqSuTBjsRltiaauGIJ1o,https://www.google.com/maps/place/?q=place_id:ChIJbamkqSuTBjsRltiaauGIJ1o,part_264,2026-09-20 19:01:46
Annamalai Restaurant,South Indian Restaurant,Vegetarian restaurant,Vegetarian restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99426 78967,N/A,4.1,209.0,"10/2, SH 41, Kela Amman Sannathi, Sankarankoil, Tamil Nadu 627756",Kela Amman Sannathi,9.1741742,77.5353038,ChIJFQX3Wr6XBjsRAk-pinoFAqc,https://www.google.com/maps/place/?q=place_id:ChIJFQX3Wr6XBjsRAk-pinoFAqc,part_264,2026-09-20 19:01:46
Nellai Saravana Bhava,South Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Dessert restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 91599 01110,N/A,4.2,1074.0,"14, Kallathi Mudukku St, Thirunagar, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627006","Thirunagar, Tirunelveli Junction",8.728126099999999,77.6890646,ChIJMSvMXnsRBDsRSnmvylZ0St8,https://www.google.com/maps/place/?q=place_id:ChIJMSvMXnsRBDsRSnmvylZ0St8,part_264,2026-09-20 19:01:46
Ponni Hotel,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 63848 72449,N/A,3.8,293.0,"3, Kacheri Rd, Sankarankoil, Tamil Nadu 627756",627761,9.1699372,77.535425,ChIJzdYcsJWXBjsRcPlbULAGao0,https://www.google.com/maps/place/?q=place_id:ChIJzdYcsJWXBjsRcPlbULAGao0,part_264,2026-09-20 19:01:46
Vellathurai evening Parotta Stall of P. Peerappa,South Indian Restaurant,Indian Muslim restaurant,Indian Muslim restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.0,976.0,"Ground Floor, PP Son Complex, NH 744, Karpaga Veethi, Quaide Millath Nagar, Puliyangudi, Tamil Nadu 627855","Karpaga Veethi, Quaide Millath Nagar",9.1722098,77.394019,ChIJMUZaDTyQBjsRyCiFBeiL6kE,https://www.google.com/maps/place/?q=place_id:ChIJMUZaDTyQBjsRyCiFBeiL6kE,part_264,2026-09-20 19:01:46
Hotel Ramraj,South Indian Restaurant,Vegetarian restaurant,Vegetarian restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 4636 234 671,N/A,3.9,548.0,"25 A, NH 744, Puliyangudi, Tamil Nadu 627855",627761,9.1796014,77.3985381,ChIJy3hloDeQBjsRgmeIOQgzDPc,https://www.google.com/maps/place/?q=place_id:ChIJy3hloDeQBjsRgmeIOQgzDPc,part_264,2026-09-20 19:01:46
Hotel Annaamalai,South Indian Restaurant,Restaurant,Restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99426 78967,N/A,4.2,108.0,"5GFP+P36, 7th St, Gomathiyapuram, Sankarankoil, Tamil Nadu 627756",Gomathiyapuram,9.1742753,77.5351434,ChIJAx25W76XBjsRu5AOpmWECmQ,https://www.google.com/maps/place/?q=place_id:ChIJAx25W76XBjsRu5AOpmWECmQ,part_264,2026-09-20 19:01:46
Saraswathi Cafe,South Indian Restaurant,Takeout restaurant,"Takeout restaurant, Breakfast restaurant, Cafe",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99943 42898,N/A,4.1,87.0,"5GCM+7R6 State Highway 41, 10/2, Kela Amman Sannathi, Sankarankoil, Tamil Nadu 627756",Kela Amman Sannathi,9.1739137,77.535304,ChIJNyPZRb6XBjsRaFqNv_R1Fy0,https://www.google.com/maps/place/?q=place_id:ChIJNyPZRb6XBjsRaFqNv_R1Fy0,part_264,2026-09-20 19:01:46
Kumar Hotel,South Indian Restaurant,Restaurant,Restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 93459 19535,N/A,4.0,436.0,"5GCM+2WG, Sankarankoil, Tamil Nadu 627756",627761,9.170051299999999,77.5348327,ChIJT3KLuZWXBjsRAlOuIul6Qo8,https://www.google.com/maps/place/?q=place_id:ChIJT3KLuZWXBjsRAlOuIul6Qo8,part_264,2026-09-20 19:01:46
Vaira Maligai Restaurant,South Indian Restaurant,South Indian restaurant,South Indian restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,3.4,471.0,"Plot no 01, 6th Main Street, Xavier Colony, Kamatchi Nagar, KTC Nagar, Tirunelveli, Tamil Nadu 627005","Xavier Colony, Kamatchi Nagar, KTC Nagar",8.7014548,77.72304419999999,ChIJcbE0OogTBDsRh-qrLQjofH4,https://www.google.com/maps/place/?q=place_id:ChIJcbE0OogTBDsRh-qrLQjofH4,part_264,2026-09-20 19:01:46
செந்தூர் பவன்,South Indian Restaurant,Indian restaurant,Indian restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 97906 49397,N/A,,,"125, South, Vadakku Radha Veethi, Sankarankoil, Tamil Nadu 627756",627761,9.1715526,77.53277899999999,ChIJBcD6ImKXBjsR1HHjGHWFpcY,https://www.google.com/maps/place/?q=place_id:ChIJBcD6ImKXBjsR1HHjGHWFpcY,part_264,2026-09-20 19:01:46
கூரைக்கடை மெஸ் ( Kooraikadai Mess ),South Indian Restaurant,Family restaurant,Family restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 98428 71775,https://srimuthuvilas.in/kooraikadai-mess,4.2,23.0,"29, Madurai - Tenkasi Main Rd, Quaide Millath Nagar, Puliyangudi, Tamil Nadu 627855",Quaide Millath Nagar,9.1742721,77.3948188,ChIJ_RXLQ_ORBjsRc3-zyFALXaY,https://www.google.com/maps/place/?q=place_id:ChIJ_RXLQ_ORBjsRc3-zyFALXaY,part_264,2026-09-20 19:01:46
Pearl’s Restaurant,South Indian Restaurant,Fish restaurant,"Fish restaurant, Non Vegetarian Restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",N/A,N/A,4.4,321.0,"NO. 45, Main Road, opposite to Govt.Law College, Bell Amorces Colony, Shanthi Nagar, Tirunelveli, Tamil Nadu 627011","Rahmath Nagar, Bell Amorces Colony, Shanthi Nagar",8.721053399999999,77.75708879999999,ChIJG8rTRmQNBDsRwKzbhKHyXtg,https://www.google.com/maps/place/?q=place_id:ChIJG8rTRmQNBDsRwKzbhKHyXtg,part_264,2026-09-20 19:01:47
GOWRI PARVATHI BHAVAN,South Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, South Indian restaurant, Vegan restaurant",627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 95663 07777,https://www.gowriparvathibhavan.com/,4.5,26382.0,"15, Chennai - Theni Hwy, Samayapuram, S.Kannanur West, Tamil Nadu 621112",627761,10.923992199999999,78.7365145,ChIJf6ZRrDD3qjsRn6uyHFV5Amk,https://www.google.com/maps/place/?q=place_id:ChIJf6ZRrDD3qjsRn6uyHFV5Amk,part_264,2026-09-20 19:01:47
Sri Uma Sankar Classic,South Indian Restaurant,Vegetarian restaurant,Vegetarian restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99443 00222,N/A,3.9,,"NGO A Colony, Perumalpuram, Vasantha Nager, Tirunelveli, Tamil Nadu 627007","NGO A Colony, Perumalpuram, Vasantha Nager",8.700916099999999,77.7287566,ChIJc3zwvGwSBDsRcpgmR28HKTY,https://www.google.com/maps/place/?q=place_id:ChIJc3zwvGwSBDsRcpgmR28HKTY,part_264,2026-09-20 19:01:48
A1 Parotta Stall,South Indian Restaurant,Non Vegetarian Restaurant,Non Vegetarian Restaurant,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 79045 99855,N/A,3.9,818.0,"Kamarajar Rd, Vasantha Nager, Tirunelveli, Tamil Nadu 627007",Vasantha Nager,8.704696499999999,77.739177,ChIJ71lGgQwSBDsRuYriIkTHTac,https://www.google.com/maps/place/?q=place_id:ChIJ71lGgQwSBDsRuYriIkTHTac,part_264,2026-09-20 19:01:49
S Arunachalam Pillai Catering Service,South Indian Restaurant,Caterer,Caterer,627761,Tamilnadu Circle,"Southern Region, Madurai",Kovilpatti Division,"Panaiyur S.O, Gomathimuthupuram B.O, Periyur B.O",+91 99941 24350,http://www.sapcatering.com/,4.3,52.0,"S Bazaar, Palayamkottai, Tirunelveli, Tamil Nadu 627002",Palayamkottai,8.7226559,77.73867109999999,ChIJ2ctoIgISBDsRK9aXrfeLp4E,https://www.google.com/maps/place/?q=place_id:ChIJ2ctoIgISBDsRK9aXrfeLp4E,part_264,2026-09-20 19:01:49
