business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMILE PRO DENTAL STUDIO,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 94891 75121,N/A,5.0,,"Q6WV+755, Allinagaram, Tamil Nadu 630611",630612,9.795643799999999,78.2429867,ChIJidy3KgDdADsRps_s4ecFyeI,https://www.google.com/maps/place/?q=place_id:ChIJidy3KgDdADsRps_s4ecFyeI,part_269,2026-09-20 19:01:47
RAJESH DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 90038 67184,N/A,5.0,,"Melaratha street, opposite to government girls higher secondary school, Tiruppuvanam, Tamil Nadu 630611",630612,9.827276099999999,78.2557107,ChIJcTdFUgDdADsROrdkG6HZj4k,https://www.google.com/maps/place/?q=place_id:ChIJcTdFUgDdADsROrdkG6HZj4k,part_269,2026-09-20 19:01:47
Mayil Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 94897 63843,N/A,4.9,,"Panaiyur, Vilakku, Tamil Nadu 625009",630612,9.880414799999999,78.1468257,ChIJtzgWr3DFADsRbs2g3ZGe8wo,https://www.google.com/maps/place/?q=place_id:ChIJtzgWr3DFADsRbs2g3ZGe8wo,part_269,2026-09-20 19:01:47
"KDC, Kailash Dental Care",Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,,,"5/1895, 7th St, Sourashtrapuram, Kurinjinagar, Vandiyur, Madurai, Tamil Nadu 625020","Sourashtrapuram, Kurinjinagar, Vandiyur",9.9135273,78.1575965,ChIJqxzs4L7FADsRIeuZck3hcWg,https://www.google.com/maps/place/?q=place_id:ChIJqxzs4L7FADsRIeuZck3hcWg,part_269,2026-09-20 19:01:47
SABI DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,5.0,,"V5WW+VG3, Puvaneshwari Colony, Rd, Annai Sathya Nagar, Tamil Nadu 625201",630612,9.8971723,78.19643479999999,ChIJrbApbYbFADsRyNywd_qMd2E,https://www.google.com/maps/place/?q=place_id:ChIJrbApbYbFADsRyNywd_qMd2E,part_269,2026-09-20 19:01:47
Anbu Dental & ENT Clinic (Poly Clinic),Dental Clinic,Dental clinic,"Dental clinic, Hospital",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,4.9,,"Bus Stand, Uma Complex ,1/261A, Silaiman, Tamil Nadu 625201",630612,9.8708502,78.19823339999999,ChIJc9IgzpPbADsRr-tbJBK3Ip0,https://www.google.com/maps/place/?q=place_id:ChIJc9IgzpPbADsRr-tbJBK3Ip0,part_269,2026-09-20 19:01:47
DIAMOND DENTAL CARE,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 89257 36239,https://diamonddentalcare.in/,,,"NO 44, UMA COMPLEX, Tiruppuvanam, Tamil Nadu 630611",630612,9.8257894,78.25584959999999,ChIJ1b16m_7dADsRBqiPZerY0kQ,https://www.google.com/maps/place/?q=place_id:ChIJ1b16m_7dADsRBqiPZerY0kQ,part_269,2026-09-20 19:01:47
Aruvi dental clinic,Dental Clinic,Dental clinic,Dental clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 80725 07048,N/A,5.0,,"Muthumanoharan complex, Madurai-Mandapam Hwy, nearby muthumariamman kovil, Tiruppuvanam, Tamil Nadu 630611",630612,9.822582299999999,78.2627072,ChIJP3tFN_XdADsRd3KHhVTRiWg,https://www.google.com/maps/place/?q=place_id:ChIJP3tFN_XdADsRd3KHhVTRiWg,part_269,2026-09-20 19:01:47
VINODA DENTAL HOSPITAL (Best Dental Hospital In Hanamkonda),Dental Clinic,Dental clinic,"Dental clinic, Dentist, Oral and maxillofacial surgeon",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98854 32424,https://vinodahospital.com/,4.9,,"Kaloji Marg, opposite Hayagrivachary Ground, Balasamudram, Hanamkonda, Telangana 506001",Balasamudram,18.0006247,79.56353039999999,ChIJByziBH1PMzoRQN2lBF60u14,https://www.google.com/maps/place/?q=place_id:ChIJByziBH1PMzoRQN2lBF60u14,part_269,2026-09-20 19:01:47
Mahendra dental clinic,Dental Clinic,Medical clinic,Medical clinic,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",N/A,N/A,,,"R7G4+MF7, Periya Kovil St, Tiruppuvanam, Tamil Nadu 630611",630612,9.8266671,78.2561783,ChIJ4a5e_ajdADsRLh1eamAdcFk,https://www.google.com/maps/place/?q=place_id:ChIJ4a5e_ajdADsRLh1eamAdcFk,part_269,2026-09-20 19:01:47
