business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sketch Architects And Constructions,Architects,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architectural designer",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 82201 00189,https://sketch-six-beta.vercel.app/,5.0,,"KS marriage hall complex, Tiruppuvanam, Tamil Nadu 630611",630612,9.823195,78.2619332,ChIJmf0bKd3dADsRfISdliuY6bA,https://www.google.com/maps/place/?q=place_id:ChIJmf0bKd3dADsRfISdliuY6bA,part_269,2026-09-20 19:01:55
Building Designers,Architects,Architect,Architect,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 98950 18990,http://www.buildingdesigners.in/,4.8,,"AM Tower opposite IOC ,chelari, malappuram, Keralam 673636",630612,11.110146,75.890535,ChIJa25sGOVRpjsR8kgDJaTj_Qw,https://www.google.com/maps/place/?q=place_id:ChIJa25sGOVRpjsR8kgDJaTj_Qw,part_269,2026-09-20 19:01:55
CHAINTREE ARCHITECTS,Architects,Architect,"Architect, Architectural designer, Architecture firm, Contractor, Interior architect office, Interior construction contractor, Interior Decorator, Interior designer, Landscape designer",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 94972 49331,N/A,4.9,,"KADAPPARA KOCHU VEEDU, Udayamarthandapuram cheri, kappalandimukku juction, Mundakkal Village, Keralam 691001","Kappalandi Mukku, Mundakkal Village",8.877106399999999,76.60511149999999,ChIJ7ToRuALjBTsRhKUdL9QWKg0,https://www.google.com/maps/place/?q=place_id:ChIJ7ToRuALjBTsRhKUdL9QWKg0,part_269,2026-09-20 19:01:55
Concetto Design Co,Architects,Architect,Architect,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 483 297 2233,http://www.cdco.in/,4.9,,"IGBT Bypass Road, near Ganga Gas Agency, Santhigramam, Thurakkal, Manjeri, Keralam 676121","Santhigramam, Thurakkal",11.113014999999999,76.11544909999999,ChIJg1J_V3E2pjsRI4eU1EJFxpo,https://www.google.com/maps/place/?q=place_id:ChIJg1J_V3E2pjsRI4eU1EJFxpo,part_269,2026-09-20 19:01:55
"Smart Home Planners & Engineers ( Building Plan Approval , Architectural Designs",Architects,Architectural designer,Architectural designer,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 82485 54031,http://smarthomeplanners.com/,5.0,,"40, Chennai Avadi Main Road, Red Hills, Chennai, Pullilyon, Tamil Nadu 600052",Red Hills,13.188058199999999,80.1887726,ChIJBeDs01d9UjoRgwKcdJSepdQ,https://www.google.com/maps/place/?q=place_id:ChIJBeDs01d9UjoRgwKcdJSepdQ,part_269,2026-09-20 19:01:55
Finger6 Architects,Architects,Architect,"Architect, Interior designer",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 40 4856 5966,http://www.f6architects.com/,4.4,,"#306, Road No. 2, Banjara Hills, Lumbini Mall, Hyderabad, Telangana 500034","Venkateshwara Nagar, Aurora Colony, Banjara Hills",17.425911799999998,78.4353989,ChIJkw-MMNOQyzsRam_uEjsIxus,https://www.google.com/maps/place/?q=place_id:ChIJkw-MMNOQyzsRam_uEjsIxus,part_269,2026-09-20 19:01:55
dimensions,Architects,Architect,Architect,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 80 2657 0215,http://dimensionsdesign.in/,4.7,,"21/3, Church Rd, Kanakapura, Basavanagudi, Bengaluru, Karnataka 560004","Kanakapura, Basavanagudi",12.9434326,77.57774189999999,ChIJRfmRutoVrjsRnBK4yKTo7lo,https://www.google.com/maps/place/?q=place_id:ChIJRfmRutoVrjsRnBK4yKTo7lo,part_269,2026-09-20 19:01:55
Srishti Design Studio,Architects,Architect,"Architect, Interior designer",630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 44 2621 2962,http://www.srishtistudio.com/,4.8,,"A L 183, 11th Main Rd, AL Block, Anna Nagar, Chennai, Tamil Nadu 600040","AL Block, Anna Nagar",13.08042,80.204983,ChIJXfdTih5kUjoRWCNo1ljLenE,https://www.google.com/maps/place/?q=place_id:ChIJXfdTih5kUjoRWCNo1ljLenE,part_269,2026-09-20 19:01:55
Architects Evolution,Architects,Architecture firm,Architecture firm,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 83800 58495,http://architectsevolution.com/,4.5,,"Income Tax Lane, 101, 1st floor, Panchsheel, 42/16, Prabhat Road Lane No 14 (Income Tax Lane), Erandwane, Pune - 411004 Prabhat Road, Lane No. 14, Erandwane, Pune, Maharashtra 411004",Erandwane,18.514208999999997,73.833342,ChIJ9U50vo2_wjsR_m-CvCTnrDI,https://www.google.com/maps/place/?q=place_id:ChIJ9U50vo2_wjsR_m-CvCTnrDI,part_269,2026-09-20 19:01:55
VM Architects,Architects,Architect,Architect,630612,Tamilnadu Circle,"Southern Region, Madurai",Sivaganga Division,"Pottapalayam SO, Ambalathadi BO, Keeladi BO",+91 80752 08009,http://www.vmarchitects.net.in/,4.6,,"C2, Jawahar Nagar Colony Rd, Eranhipaalam, Jawahar Nagar, Kozhikode, Keralam 673006","Eranhipaalam, Jawahar Nagar",11.269822099999999,75.7817747,ChIJb26v70hZpjsRaU2r50MZ4Mo,https://www.google.com/maps/place/?q=place_id:ChIJb26v70hZpjsRaU2r50MZ4Mo,part_269,2026-09-20 19:01:55
