business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Guna beauty parlour(ladies),Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97516 00623,https://www.instagram.com/guna_beauty_parlour?igsh=MWd4Y3Jjd3R2ZXhiYw==,4.8,61.0,"SAP complex, Kothari, Tamil Nadu 630107",630107,10.147141699999999,78.7999413,ChIJe2WVP3BnADsRQwshRNbzIao,https://www.google.com/maps/place/?q=place_id:ChIJe2WVP3BnADsRQwshRNbzIao,part_268,2026-09-20 19:02:05
Ganga's Beauty Lounge,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Make-up artist, Mehandi Class, Mehndi Designer, Hairdresser",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99942 87530,https://www.instagram.com/ganga_makeup_hair?igsh=MWY2dmJ6c3dkbmp3bg==,4.9,133.0,"No.4, Karthikraja Complex, Pandaram Colony, Singampunari, Kannamangalapatti, Tamil Nadu 625103",Pandaram Colony,10.184638,78.4222101,ChIJQ8YOyVWRADsRJApjTAQD4QE,https://www.google.com/maps/place/?q=place_id:ChIJQ8YOyVWRADsRJApjTAQD4QE,part_268,2026-09-20 19:02:05
NYRAA Beauty Salon - Sivagangai,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,https://www.nyraabeautysalon.in/locations,5.0,16.0,"No.47, S Raja St, opp. Master Grand Bakery, Aranmanai Vaasal, Sivaganga, Tamil Nadu 630561",Aranmanai Vaasal,9.848190899999999,78.48575029999999,ChIJDa006pr7ADsRNvKKd7SR0Hk,https://www.google.com/maps/place/?q=place_id:ChIJDa006pr7ADsRNvKKd7SR0Hk,part_268,2026-09-20 19:02:05
WINSAR BEAUTY PARLOUR SPA & TATTOO STUDIOS,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 72009 92293,N/A,4.8,47.0,"New Muthu Ganesh Complex Sri Ramnagar karaikudi kottaiyur, East Coast Rd, Karaikudi, Tamil Nadu 630106",630107,10.1020805,78.7931905,ChIJG42bR09nADsRMvoJEcbyMgc,https://www.google.com/maps/place/?q=place_id:ChIJG42bR09nADsRMvoJEcbyMgc,part_268,2026-09-20 19:02:05
SHIVANI LADIES BEAUTY PARLOUR &ACADEMY,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 95850 46622,N/A,4.8,38.0,"vaalmel nadantha, amman kovil street, opp. Ilayangudi, Busstand, Tamil Nadu 630702",Busstand,9.6288024,78.62774309999999,ChIJPxOWaVoBATsRjfLSV2HaDk8,https://www.google.com/maps/place/?q=place_id:ChIJPxOWaVoBATsRjfLSV2HaDk8,part_268,2026-09-20 19:02:05
Swarna's Beauty Parlour kottaiyur,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 96261 08600,N/A,5.0,1.0,"No.16, Trichy Main Road, Sriramnagar, Kottaiyur, Tamil Nadu 630106",Sriramnagar,10.1029559,78.7942923,ChIJUYbF_QBnADsRG85-5nJ6UII,https://www.google.com/maps/place/?q=place_id:ChIJUYbF_QBnADsRG85-5nJ6UII,part_268,2026-09-20 19:02:05
AISHSRI BEAUTY PARLOUR,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 82206 15599,N/A,3.9,11.0,"4Q3V+2M6, Trichy Main Road, Naattar Complex, Kottaiyur, Tamil Nadu 630106",Sriramnagar,10.1025364,78.79414349999999,ChIJubFVEahnADsRGrxIoeKCuI8,https://www.google.com/maps/place/?q=place_id:ChIJubFVEahnADsRGrxIoeKCuI8,part_268,2026-09-20 19:02:05
Thanga Tamil beauty care for modern tamizhachi,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 78680 76083,N/A,5.0,17.0,"13, nadar street, Pallathur, Tamil Nadu 630107",630107,10.1381461,78.7990718,ChIJVVVVVXpmADsRVk7NdYKe8HY,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVXpmADsRVk7NdYKe8HY,part_268,2026-09-20 19:02:05
SRI SAI MENS BEATY BARLOUR,Beauty Parlour,Health and beauty shop,Health and beauty shop,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 93604 54766,N/A,5.0,,"Rose Nagar, Sivaganga, Paiyaurpillaivayal, Tamil Nadu 630561",Rose Nagar,9.8457393,78.5109106,ChIJIx5-Epf7ADsRtgZMaJ9Z2Ew,https://www.google.com/maps/place/?q=place_id:ChIJIx5-Epf7ADsRtgZMaJ9Z2Ew,part_268,2026-09-20 19:02:07
JWALA BEAUTY CENTER,Beauty Parlour,Cosmetics store,"Cosmetics store, Beauty Products Wholesaler",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 95512 22201,http://jwalabeauty.com/,4.5,,"NO.146, 162, NSC Bose Rd, Sowcarpet, Rattan Bazaar, George Town, Chennai, Tamil Nadu 600001","Sowcarpet, Rattan Bazaar, George Town",13.0888653,80.28082719999999,ChIJ_874se5mUjoRcTWlq_FiiA0,https://www.google.com/maps/place/?q=place_id:ChIJ_874se5mUjoRcTWlq_FiiA0,part_268,2026-09-20 19:02:07
Sasti Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 90803 74291,https://www.instagram.com/invites/contact/?igsh=frp01m416jy9&utm_content=m0vs6eq,5.0,,"nearly PH, post, opposite sivagangai district, Poovanthi, Puvandi, Tamil Nadu 630611",630107,9.8561772,78.27826809999999,ChIJD3-6lHjdADsR5BDbsIy21Kw,https://www.google.com/maps/place/?q=place_id:ChIJD3-6lHjdADsR5BDbsIy21Kw,part_268,2026-09-20 19:02:07
