business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,4.2,444.0,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_268,2026-09-20 19:02:12
PGR JUNIOR COLLEGE,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 91000 97077,https://pgrjuniorcollege.com/,4.7,84.0,"6-2/271/A, opp. BJP Office Road, M J Colony, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","M J Colony, Vivek Nagar, Kukatpally",17.4825038,78.4135866,ChIJoY3EkbeRyzsRYqagE9ivxF8,https://www.google.com/maps/place/?q=place_id:ChIJoY3EkbeRyzsRYqagE9ivxF8,part_268,2026-09-20 19:02:12
VIJETHA Junior and Degree College,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 77804 22339,https://vijethacollege.com/,4.7,141.0,"Beside HP Petrol Bunk, Allwyn Colony, Pipeline Rd, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4992025,78.413682,ChIJ0WfnLQCRyzsRUGleBPsgrJM,https://www.google.com/maps/place/?q=place_id:ChIJ0WfnLQCRyzsRUGleBPsgrJM,part_268,2026-09-20 19:02:12
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,356.0,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_268,2026-09-20 19:02:12
Avinash College of Commerce (Degree) - KPHB,Junior College and Degree College,Educational institution,Educational institution,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99492 22244,https://acc.edu.in/kukatpally-degree-branch/,4.5,3864.0,"53 & 54, ACC Towers, Plot No. 21, Usha Mullapudi Rd, behind South India Shopping Mall, Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally",17.4936836,78.40468369999999,ChIJv7hHuZSRyzsRgyRSNhnq26w,https://www.google.com/maps/place/?q=place_id:ChIJv7hHuZSRyzsRgyRSNhnq26w,part_268,2026-09-20 19:02:12
Prathibha Degree & PG College,Junior College and Degree College,College,"College, Educational institution",630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 93907 26237,https://prathibhacolleges.in/,4.0,421.0,"Metro Pillar No. 814, PRATHIBHA DEGREE AND PG COLLEGE HNo.12-6-2/210, Road No. 4, opposite BJP Office Road, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.482202,78.4128296,ChIJVcYqU5-RyzsRXC_VG4DvnFE,https://www.google.com/maps/place/?q=place_id:ChIJVcYqU5-RyzsRXC_VG4DvnFE,part_268,2026-09-20 19:02:12
Pragathi Junior College,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 99496 24412,http://www.pragathicolleges.com/,3.6,,"5-2-4/2/1, Bagh Ameer, Sumitra Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Bagh Ameer, Sumitra Nagar Colony, Kukatpally",17.485411499999998,78.41250699999999,ChIJy3ZOeLyRyzsR9DK4x14mNk4,https://www.google.com/maps/place/?q=place_id:ChIJy3ZOeLyRyzsR9DK4x14mNk4,part_268,2026-09-20 19:02:13
CMS Commerce Junior College - JNTU,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 97011 00339,http://cmsforca.in/,4.2,,"Sy No 145 (Part, H No: 32/17,18, 23 & 24, Sardar Patel Nagar Rd, Hydernagar, Nizampet, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, Hydernagar, Nizampet",17.497927,78.3887621,ChIJgQ_opvaRyzsR7w5UXGLyOCQ,https://www.google.com/maps/place/?q=place_id:ChIJgQ_opvaRyzsR7w5UXGLyOCQ,part_268,2026-09-20 19:02:13
Pragathi junior college girls,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",N/A,N/A,4.5,,"FCR5+G83, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4912729,78.4082907,ChIJnSeOHOSRyzsR52XIzcBxy8g,https://www.google.com/maps/place/?q=place_id:ChIJnSeOHOSRyzsR52XIzcBxy8g,part_268,2026-09-20 19:02:13
Pragathi Degree college,Junior College and Degree College,College,College,630107,Tamilnadu Circle,"Southern Region, Madurai",Karaikudi Division,"Pallattur S.O, Vadagudi B.O, Ac.School B.O",+91 98494 84835,N/A,3.7,,"padmavati palaza, near Kalamandir Lane, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Bhagya Nagar Colony, Kukatpally",17.4963998,78.4014333,ChIJ59EHh-uRyzsR3QThZIn3fKo,https://www.google.com/maps/place/?q=place_id:ChIJ59EHh-uRyzsR3QThZIn3fKo,part_268,2026-09-20 19:02:13
