business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bridgestone B Shop Mega & Michelin Priority Partner - Sri Automobile,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 77084 97053,https://www.michelin.in/auto/dealer-locator/tirunelveli/yfyivgs-michelin-tyres-sri-automobile,4.4,538.0,"223/2-b2, North Bye Pass Road, Near Aircell Tower, Tirunelveli, Tamil Nadu 627003",Manimoorthispuram,8.7366607,77.7226345,ChIJFS6rMO0RBDsRxToDQ4WqlQI,https://www.google.com/maps/place/?q=place_id:ChIJFS6rMO0RBDsRxToDQ4WqlQI,part_263,2026-09-20 19:01:58
Mobile puncher shop,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,2.0,1.0,"Balaji complex, Kanyakumari to Madurai bypass, naranamal puram, Tirunelveli, Naranammalpuram, Tamil Nadu 627359",naranamal puram,8.7584073,77.7383062,ChIJgY1OuO4RBDsRV6_sWv_1nKo,https://www.google.com/maps/place/?q=place_id:ChIJgY1OuO4RBDsRV6_sWv_1nKo,part_263,2026-09-20 19:01:58
RAJA TYRES-JK TYRE & BRIDGESTONE TYRE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 94435 81414,N/A,4.9,654.0,"North Street, Kailasapuram Rd, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.7287786,77.7117121,ChIJIcYLTBwRBDsRFMSo-JRqABM,https://www.google.com/maps/place/?q=place_id:ChIJIcYLTBwRBDsRFMSo-JRqABM,part_263,2026-09-20 19:01:58
Smart Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 96006 11717,N/A,5.0,1.0,"6, North Street, MGR Statue Backside, Kailasapuram, Tirunelveli Junction, Tirunelveli, Tamil Nadu 627001","Kailasapuram, Tirunelveli Junction",8.7288163,77.71151859999999,ChIJtXzAoNkRBDsRU1kyZTnxnEg,https://www.google.com/maps/place/?q=place_id:ChIJtXzAoNkRBDsRU1kyZTnxnEg,part_263,2026-09-20 19:01:58
MRF Tyres T&S - Guru Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99432 20645,https://dealers.mrftyres.com/mrf-tyres-t-s-guru-tyres-tyre-shop-udayarpatti-tirunelveli-397934/Home?utm_source=locator&utm_medium=googleplaces,4.2,113.0,"Shop No 5, Bypass Rd, near Dreamland Lodge, Gomathy Nagar, Manimoorthispuram, Udayarpatti, Tirunelveli, Tamil Nadu 627001","Gomathy Nagar, Manimoorthispuram",8.7454628,77.71195569999999,ChIJgRCQXL0RBDsRSRvqIrScVu8,https://www.google.com/maps/place/?q=place_id:ChIJgRCQXL0RBDsRSRvqIrScVu8,part_263,2026-09-20 19:01:58
"JK Tyre Steel Wheels, Jey Tyres & Aligners",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tyre manufacturer, Wheel alignment service, Wheel store",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 91679 94120,https://brandshops.jktyre.com/jk-tyre-steel-wheels-jey-tyres-aligners-tyre-shop-manimoorchisvaram-village-tirunelveli-118023/Home?utm_source=locator&utm_medium=googleplaces,4.8,27.0,"No 63/1A1C, North Bypass Road Udayarpatti, Manimoorchisvaram Village, near Classic Automobiles, Tirunelveli, Tamil Nadu 627001","Gomathy Nagar, Manimoorthispuram",8.743354799999999,77.7146872,ChIJh6mFJXARBDsRopv-OuTaBXU,https://www.google.com/maps/place/?q=place_id:ChIJh6mFJXARBDsRopv-OuTaBXU,part_263,2026-09-20 19:01:58
Siva Tyre Shop in Tirunelveli,Tyre Showroom and Puncture Shop,Used tire shop,"Used tire shop, Tire shop",627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 99434 10691,N/A,5.0,33.0,"St, Thomas Road, High Ground Rd, Tirunelveli, Tamil Nadu 627011",Maharaja Nagar,8.7105762,77.7507839,ChIJg5StOX4NBDsRncDJg6JgrAM,https://www.google.com/maps/place/?q=place_id:ChIJg5StOX4NBDsRncDJg6JgrAM,part_263,2026-09-20 19:01:58
Sivan tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 93667 18629,N/A,4.7,15.0,"12, North St, kailaasapuram junction, Tirunelveli, Tamil Nadu 627001",kailaasapuram junction,8.7287599,77.7117039,ChIJ6WiNCjsPBDsRw6lmGwyuWnU,https://www.google.com/maps/place/?q=place_id:ChIJ6WiNCjsPBDsRw6lmGwyuWnU,part_263,2026-09-20 19:01:58
AG Tyres,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",N/A,N/A,4.8,5.0,"PPF8+Q8G, Kokkirakulam, Tirunelveli, Tamil Nadu 627009",Kokkirakulam,8.724501,77.71560269999999,ChIJf17kRAARBDsRQaORCuUdt6M,https://www.google.com/maps/place/?q=place_id:ChIJf17kRAARBDsRQaORCuUdt6M,part_263,2026-09-20 19:01:58
V.S.Varahi tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,627353,Tamilnadu Circle,"Southern Region, Madurai",Tirunelveli Division,"Kizhanatham SO, Manapadaiveedu BO, Timmarajapuram BO",+91 7397 622 775,N/A,5.0,7.0,"Kailasapuram Rd, Meenakshipuram, Tirunelveli, Tamil Nadu 627001",Meenakshipuram,8.728921099999999,77.71177879999999,ChIJU-BpTK4RBDsR1WagD81BiuE,https://www.google.com/maps/place/?q=place_id:ChIJU-BpTK4RBDsR1WagD81BiuE,part_263,2026-09-20 19:01:58
